Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2014-01-02 00:00:00-05:00,8.088552946165004,8.119018276935181,7.940034549454243,8.080936431884766,376300,0.0,0.0
2014-01-03 00:00:00-05:00,8.103784237901568,8.301808482291257,8.103784237901568,8.218029022216797,468700,0.0,0.0
2014-01-06 00:00:00-05:00,8.259918864470716,8.30942474247636,8.195179961632196,8.20660400390625,406300,0.0,0.0
2014-01-07 00:00:00-05:00,8.206604253245024,8.29038443967011,8.16852314270703,8.218029022216797,524600,0.0,0.0
2014-01-08 00:00:00-05:00,8.206603496016996,8.240877073419247,8.08474221029813,8.187562942504883,390900,0.0,0.0
2014-01-09 00:00:00-05:00,8.218032575439327,8.218032575439327,8.088554709846186,8.195183753967285,340500,0.0,0.0
2014-01-10 00:00:00-05:00,8.187567764541686,8.339894461402498,8.145677650523343,8.256114959716797,746000,0.0,0.0
2014-01-13 00:00:00-05:00,8.248497064857652,8.309427733419689,8.206606957839677,8.301811218261719,485700,0.0,0.0
2014-01-14 00:00:00-05:00,8.332277802230546,8.38940094813188,8.275155382680186,8.366551399230957,268600,0.0,0.0
2014-01-15 00:00:00-05:00,8.393208086228876,8.4998363948,8.317044386091606,8.45413875579834,347700,0.0,0.0
2014-01-16 00:00:00-05:00,8.328472249468877,8.526496635875235,8.301814436083289,8.518880844116211,447000,0.0,0.0
2014-01-17 00:00:00-05:00,8.496026973171462,8.534108818022746,8.46556164256059,8.484602928161621,443800,0.0,0.0
2014-01-21 00:00:00-05:00,8.499837426363,8.598849958017524,8.446523265607087,8.534111022949219,728900,0.0,0.0
2014-01-22 00:00:00-05:00,8.545533200383238,8.610272115778216,8.49221832947807,8.556957244873047,402000,0.0,0.0
2014-01-23 00:00:00-05:00,8.522683561536216,8.534108332246515,8.419863530546454,8.476985931396484,826400,0.0,0.0
2014-01-24 00:00:00-05:00,8.461755995988732,8.553152016018062,8.404633574264276,8.473180770874023,730800,0.0,0.0
2014-01-27 00:00:00-05:00,8.499835692135326,8.568382871322033,8.408439695336655,8.461753845214844,505000,0.0,0.0
2014-01-28 00:00:00-05:00,8.4617519787701,8.701667053004481,8.4617519787701,8.682625770568848,740500,0.0,0.0
2014-01-29 00:00:00-05:00,8.655969746438938,8.675011031173192,8.446520698817347,8.556957244873047,496700,0.0,0.0
2014-01-30 00:00:00-05:00,8.614081401533475,8.709285657523075,8.568383039064102,8.625505447387695,467600,0.0,0.0
2014-01-31 00:00:00-05:00,8.522683379839828,8.77021498883069,8.511259335723814,8.728324890136719,628300,0.0,0.0
2014-02-03 00:00:00-05:00,8.705476819898008,8.705476819898008,8.511260063461744,8.537917137145996,462500,0.0,0.0
2014-02-04 00:00:00-05:00,8.54934085474931,8.64835262298584,8.492217730923485,8.64835262298584,503800,0.0,0.0
2014-02-05 00:00:00-05:00,8.644544428243652,8.663584983821687,8.476984779024527,8.507450103759766,341000,0.0,0.0
2014-02-06 00:00:00-05:00,8.503645179569913,8.591232931711591,8.488412874408757,8.499836921691895,508000,0.0,0.0
2014-02-07 00:00:00-05:00,8.503643549166021,8.556957696534523,8.450329401797518,8.537917137145996,420800,0.0,0.0
2014-02-10 00:00:00-05:00,8.522682313679713,8.65977663672758,8.480792946576686,8.617886543273926,345400,0.0,0.0
2014-02-11 00:00:00-05:00,8.598849113847413,8.720710455812336,8.564575520625917,8.65597152709961,252300,0.0,0.0
2014-02-12 00:00:00-05:00,8.65596639721217,8.682623459175046,8.537913382940662,8.579803466796875,382400,0.0,0.0
2014-02-13 00:00:00-05:00,8.529627476689413,8.656992923203553,8.51418888382582,8.583661079406738,455400,0.3,0.0
2014-02-14 00:00:00-05:00,8.610684213318264,8.676296808936735,8.548931268754194,8.637701034545898,346100,0.0,0.0
