Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2014-01-02 00:00:00-05:00,17.44842887303391,17.76535922112012,17.34163643967836,17.37264060974121,855800,0.0,0.0
2014-01-03 00:00:00-05:00,17.327857301110285,17.46565391076807,17.200396291358647,17.314077377319336,541100,0.0,0.0
2014-01-06 00:00:00-05:00,17.289960346228963,17.396752766992766,16.880017536290012,16.952360153198242,1468800,0.0,0.0
2014-01-07 00:00:00-05:00,16.983372073491594,17.562115901238574,16.766342809554914,16.88691520690918,1698700,0.0,0.0
2014-01-08 00:00:00-05:00,16.67676799770877,16.90757708001471,16.3632820158646,16.776670455932617,3430300,0.0,0.0
2014-01-09 00:00:00-05:00,17.06796481909341,17.514007424683207,16.97693532614295,17.181751251220703,3433000,11.84,0.0
2014-01-10 00:00:00-05:00,17.44573628958653,17.468493228349107,17.131684631436293,17.2318172454834,1620100,0.0,0.0
2014-01-13 00:00:00-05:00,17.168098585937805,17.313745089925636,16.94507640006959,16.949628829956055,1506000,0.0,0.0
2014-01-14 00:00:00-05:00,16.895009678693334,17.05431173223062,16.8085326116256,16.94507598876953,1381100,0.0,0.0
2014-01-15 00:00:00-05:00,16.885909144252143,17.222717813338765,16.808535188630497,16.872255325317383,2119200,0.0,0.0
2014-01-16 00:00:00-05:00,16.767565687522122,17.049755502221164,16.51723592918058,16.617366790771484,809200,0.0,0.0
2014-01-17 00:00:00-05:00,16.36703656380139,16.667432612458732,16.362485871413266,16.526338577270508,582600,0.0,0.0
2014-01-21 00:00:00-05:00,16.344281753916768,16.58095772244835,16.344281753916768,16.53089141845703,376200,0.0,0.0
2014-01-22 00:00:00-05:00,16.248696573202185,16.499026279854935,16.248696573202185,16.29421043395996,471700,0.0,0.0
2014-01-23 00:00:00-05:00,16.22594579783036,16.316973553875574,16.103056243677536,16.134916305541992,470300,0.0,0.0
2014-01-24 00:00:00-05:00,15.930101196048184,16.10760776014809,15.779902265660118,15.802660942077637,675800,0.0,0.0
2014-01-27 00:00:00-05:00,15.843620982625925,16.1713246757945,15.547775610380246,15.647908210754395,675900,0.0,0.0
2014-01-28 00:00:00-05:00,15.274689975543566,15.884585269357553,15.274689975543566,15.870929718017578,715000,0.0,0.0
2014-01-29 00:00:00-05:00,15.684319933093795,15.89368653209206,15.406680786653787,15.565982818603516,1049200,0.0,0.0
2014-01-30 00:00:00-05:00,15.784454599680952,15.980167409230239,15.666115733503451,15.748042106628418,756200,0.0,0.0
2014-01-31 00:00:00-05:00,15.757139917904345,16.016572766593317,15.465847016656562,15.79355239868164,2004200,0.0,0.0
2014-02-03 00:00:00-05:00,15.688875891502867,15.961962670215343,15.365721061992916,15.465853691101074,1163100,0.0,0.0
2014-02-04 00:00:00-05:00,15.415785057720113,15.752593654630259,15.36116805744173,15.693424224853516,622300,0.0,0.0
2014-02-05 00:00:00-05:00,15.629708245665327,15.875487416445223,15.47495859031246,15.711634635925293,768900,0.0,0.0
2014-02-06 00:00:00-05:00,15.761694417417704,16.430757345319083,15.748038867210376,16.37158966064453,1302700,0.0,0.0
2014-02-07 00:00:00-05:00,16.549101646754426,16.881357874030556,16.321528745641178,16.699298858642578,837800,0.0,0.0
2014-02-10 00:00:00-05:00,16.781226222903996,16.931425179815605,16.65833664077001,16.876808166503906,668900,0.0,0.0
