Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2014-01-02 00:00:00-05:00,9.727186573450645,9.765328321245502,9.690022754617912,9.731099128723145,128700,0.0,0.0
2014-01-03 00:00:00-05:00,9.731099128723145,9.814228127047727,9.695891167814661,9.731099128723145,129600,0.0,0.0
2014-01-06 00:00:00-05:00,9.750660314300278,9.79564841240627,9.689046581401449,9.737945556640625,166500,0.0,0.0
2014-01-07 00:00:00-05:00,9.81129417815017,9.826941880709775,9.644056576452423,9.647968292236328,150300,0.0,0.0
2014-01-08 00:00:00-05:00,9.696868376564465,9.731098405968469,9.579507676162212,9.62840747833252,133200,0.0,0.0
2014-01-09 00:00:00-05:00,9.59026732450851,9.682198523294083,9.537454963216707,9.638188362121582,162900,0.0,0.0
2014-01-10 00:00:00-05:00,9.598093059137167,9.687092179009776,9.584402049128846,9.653840065002441,122400,0.0,0.0
2014-01-13 00:00:00-05:00,9.71056058799347,9.711538517004513,9.585377280339543,9.586355209350586,100800,0.0,0.0
2014-01-14 00:00:00-05:00,9.633301526826951,9.683180120113636,9.497360115376168,9.578534126281738,118800,0.0,0.0
2014-01-15 00:00:00-05:00,9.61373955829338,9.61373955829338,9.49442381654196,9.570707321166992,526500,0.0,0.0
2014-01-16 00:00:00-05:00,9.584401837438502,10.059709876481886,9.584401837438502,9.753595352172852,324900,0.0,0.0
2014-01-17 00:00:00-05:00,9.784888750171607,9.93550072548034,9.657748749211663,9.684154510498047,300600,0.0,0.0
2014-01-21 00:00:00-05:00,9.683173365835506,9.877795438272212,9.486595436089925,9.603955268859863,286200,0.0,0.0
2014-01-22 00:00:00-05:00,9.598087799719197,9.628406109254229,9.494420636782234,9.559946060180664,170100,0.0,0.0
2014-01-23 00:00:00-05:00,9.571681269097963,9.584396020671125,9.41128921508789,9.41128921508789,99900,0.0,0.0
2014-01-24 00:00:00-05:00,9.42792125558651,9.42792125558651,9.150170041998244,9.307626724243164,190800,0.0,0.0
2014-01-27 00:00:00-05:00,9.26165900272566,9.264593629362913,9.095399308709286,9.182441711425781,198000,0.0,0.0
2014-01-28 00:00:00-05:00,9.142341087779917,9.426938499826862,9.142341087779917,9.377059936523438,49500,0.0,0.0
2014-01-29 00:00:00-05:00,9.291000982110534,9.399558672572248,9.213738703295487,9.263615608215332,90000,0.0,0.0
2014-01-30 00:00:00-05:00,9.226451183981874,9.472907781119625,9.2244953258088,9.443568229675293,63900,0.0,0.0
2014-01-31 00:00:00-05:00,9.437700874887911,9.98342481935319,9.242100765419208,9.88464641571045,191700,0.0,0.0
2014-02-03 00:00:00-05:00,9.86899532343316,9.975597124074783,9.779997081709718,9.858237266540527,144900,0.0,0.0
2014-02-04 00:00:00-05:00,9.74674578620281,10.172176773851131,9.715450381227988,10.171198844909668,244800,0.0,0.0
2014-02-05 00:00:00-05:00,10.249440484546742,10.70910076659498,10.249440484546742,10.70421028137207,253800,0.0,0.0
2014-02-06 00:00:00-05:00,10.709100492440363,10.922304153442383,10.709100492440363,10.922304153442383,169200,0.0,0.0
2014-02-07 00:00:00-05:00,10.95359857176305,11.160935478587849,10.923281092486652,11.061179161071777,153000,0.0,0.0
2014-02-10 00:00:00-05:00,11.127685091037357,11.97267719528145,11.127685091037357,11.870965003967285,400500,0.0,0.0
2014-02-11 00:00:00-05:00,11.914973718622978,12.091013543935093,11.770229302639173,11.865095138549805,217800,0.0,0.0
2014-02-12 00:00:00-05:00,11.931600570678711,12.071453666867857,11.911061541126617,11.931600570678711,116100,0.0,0.0
2014-02-13 00:00:00-05:00,11.931600570678711,11.954093779599663,11.879766130804517,11.931600570678711,54900,0.0,0.0
2014-02-14 00:00:00-05:00,12.029398560914737,12.029398560914737,11.956048011779785,11.956048011779785,75600,0.0,0.0
2014-02-18 00:00:00-05:00,12.108616574051672,12.20543825714565,12.093945960703367,12.176097869873047,124200,0.0,0.0
2014-02-19 00:00:00-05:00,12.224998210145431,12.391257882267697,12.132087405813595,12.361917495727539,106200,0.0,0.0
2014-02-20 00:00:00-05:00,12.436248600963545,12.922314643859863,12.36192010966605,12.922314643859863,288000,0.0,0.0
