Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2014-01-02 00:00:00-05:00,36.87392680202145,36.87392680202145,36.20414628116389,36.376991271972656,96000,0.0,0.0
2014-01-03 00:00:00-05:00,36.405798012391834,36.65786750443753,36.33377972741962,36.49942398071289,88100,0.0,0.0
2014-01-06 00:00:00-05:00,36.765897429880354,36.80911005219256,36.21855128386736,36.33378219604492,82000,0.0,0.0
2014-01-07 00:00:00-05:00,36.46341776862862,37.29884257912443,36.46341776862862,36.87392807006836,161100,0.0,0.0
2014-01-08 00:00:00-05:00,36.87392664107231,37.205215161444414,36.64346482278548,36.693878173828125,133100,0.0,0.0
2014-01-09 00:00:00-05:00,36.7730992756841,37.66613811860677,36.7730992756841,37.39246368408203,204600,0.0,0.0
2014-01-10 00:00:00-05:00,37.52209415570164,37.70934607359121,37.13319160954865,37.31324005126953,124600,0.0,0.0
2014-01-13 00:00:00-05:00,37.36365227485345,37.550901439807355,36.362583408472844,36.686668395996094,92400,0.0,0.0
2014-01-14 00:00:00-05:00,36.95314983454341,37.017967395149505,36.56424447090684,36.701080322265625,78700,0.0,0.0
2014-01-15 00:00:00-05:00,36.67946205488241,36.96754060784639,36.369778572008364,36.62184524536133,100800,0.0,0.0
2014-01-16 00:00:00-05:00,36.621859523989464,37.01076489792635,36.32658012836814,36.981956481933594,61800,0.0,0.0
2014-01-17 00:00:00-05:00,36.99637189621648,36.99637189621648,36.44902556317051,36.62907409667969,50600,0.0,0.0
2014-01-21 00:00:00-05:00,36.92433911411483,37.010761607087005,36.247357882409986,36.895530700683594,77900,0.0,0.0
2014-01-22 00:00:00-05:00,37.01797828103233,37.29885354381521,36.816322062444684,37.133209228515625,45200,0.0,0.0
2014-01-23 00:00:00-05:00,37.01796801999986,37.30604393519492,36.902737104457486,37.09718704223633,90000,0.0,0.0
2014-01-24 00:00:00-05:00,36.80909755194881,36.80909755194881,35.282287797265134,35.59196853637695,101600,0.0,0.0
2014-01-27 00:00:00-05:00,35.563181579480336,35.736026606278735,34.73495735516134,35.051841735839844,54300,0.0,0.0
2014-01-28 00:00:00-05:00,35.15987080498142,35.59918958386283,34.84298643451517,35.57038116455078,100900,0.0,0.0
2014-01-29 00:00:00-05:00,35.23188982685311,35.5055643212733,34.605321804266765,34.857391357421875,85400,0.0,0.0
2014-01-30 00:00:00-05:00,35.08783662055901,35.66399100937754,34.82856645876046,35.159854888916016,80900,0.0,0.0
2014-01-31 00:00:00-05:00,34.51168656305788,35.05183192848628,34.274024030876504,34.63412094116211,91500,0.0,0.0
2014-02-03 00:00:00-05:00,34.61251258645291,34.763752614475315,32.64638398019825,32.79042053222656,159500,0.0,0.0
2014-02-04 00:00:00-05:00,32.898452946156134,34.04356119604305,32.42312514888164,33.553829193115234,111700,0.0,0.0
2014-02-05 00:00:00-05:00,33.43860127493099,33.503418832486204,32.61758071077929,33.1289176940918,142800,0.0,0.0
2014-02-06 00:00:00-05:00,33.26574762530512,33.89951888125387,33.17932514636881,33.3521728515625,110300,0.0,0.0
2014-02-07 00:00:00-05:00,33.4674056828374,33.6474541270148,33.107308794482606,33.272953033447266,116000,0.0,0.0
2014-02-10 00:00:00-05:00,33.27295665419304,33.38098408406223,32.75441619939203,33.0713005065918,89900,0.0,0.0
2014-02-11 00:00:00-05:00,33.17212640347331,33.251345411302886,32.6535860041743,33.11450958251953,152300,0.0,0.0
2014-02-12 00:00:00-05:00,33.18653985088731,33.35938486724205,33.028096296460454,33.15052795410156,121400,0.0,0.0
2014-02-13 00:00:00-05:00,32.92006316844127,36.86672548974353,32.531157795301255,35.858455657958984,255000,0.0,0.0
2014-02-14 00:00:00-05:00,35.779233443869174,35.836847527700016,34.878991062023275,35.31830978393555,210300,0.0,0.0
2014-02-18 00:00:00-05:00,35.28950128202414,36.08891695471902,34.72775091626956,35.94487762451172,215200,0.0,0.0
2014-02-19 00:00:00-05:00,35.82965132805903,36.13933496635867,35.05904397154282,35.073448181152344,181700,0.0,0.0
2014-02-20 00:00:00-05:00,35.1094450723909,35.584772834247346,35.02302259223185,35.44793701171875,69300,0.0,0.0
2014-02-21 00:00:00-05:00,35.62799819947133,35.68561229109077,35.10225690707924,35.42634201049805,116000,0.0,0.0
2014-02-24 00:00:00-05:00,35.3687217083496,35.57037511459169,35.07344232892869,35.13825988769531,108000,0.0,0.0
2014-02-25 00:00:00-05:00,35.24629115737841,35.347120618796524,34.662935812301214,34.965415954589844,119900,0.0,0.0
2014-02-26 00:00:00-05:00,35.102254793580144,36.312178117960144,34.77096348425748,35.47675323486328,123600,0.0,0.0
2014-02-27 00:00:00-05:00,35.42633624692119,35.60638471833792,35.231883568112515,35.505558013916016,66700,0.0,0.0
2014-02-28 00:00:00-05:00,35.61358899802841,36.08891686338433,35.19587521621658,35.46234893798828,121200,0.0,0.0
2014-03-03 00:00:00-05:00,35.2318733449821,35.65678772412229,34.58370068435322,35.188663482666016,112100,0.0,0.0
2014-03-04 00:00:00-05:00,35.74322900350186,36.83792421361699,35.4623537829614,36.41300964355469,177200,0.0,0.0
2014-03-05 00:00:00-05:00,36.36259502719323,36.70108432745624,36.15373811496751,36.557044982910156,96100,0.0,0.0
2014-03-06 00:00:00-05:00,36.57144336385264,37.241223874028,36.52823349050039,36.967552185058594,86300,0.0,0.0
2014-03-07 00:00:00-05:00,37.327661666891295,37.738172085702075,36.996370291637746,37.57252502441406,133300,0.0,0.0
2014-03-10 00:00:00-04:00,37.38526465204735,37.88940092359525,37.32044709217231,37.78857421875,129300,0.0,0.0
2014-03-11 00:00:00-04:00,37.947015006083255,38.26390207539307,37.70214897403551,37.78857421875,139200,0.0,0.0
2014-03-12 00:00:00-04:00,37.608518627330874,37.817372727550925,37.349248436910244,37.529296875,123400,0.0,0.0
2014-03-13 00:00:00-04:00,37.62292974972508,38.02623656691599,36.160934295443106,36.945945739746094,190000,0.0,0.0
2014-03-14 00:00:00-04:00,36.9243308172727,38.92646839640018,36.9243308172727,38.227882385253906,247200,0.0,0.0
2014-03-17 00:00:00-04:00,38.63118759705323,38.89045775499116,38.01182060805056,38.04783248901367,95800,0.0,0.0
2014-03-18 00:00:00-04:00,38.184672093030855,38.77523073491905,37.70214086281232,38.65999984741211,60800,0.0,0.0
2014-03-19 00:00:00-04:00,38.703221963554334,38.890471171484364,38.49436507012803,38.73923110961914,92500,0.0,0.0
2014-03-20 00:00:00-04:00,38.65280214625857,38.890467432616646,38.47995716283586,38.753631591796875,55300,0.0,0.0
2014-03-21 00:00:00-04:00,38.82565802694123,39.50984286930107,38.45836029957697,38.962493896484375,198300,0.0,0.0
2014-03-24 00:00:00-04:00,39.243356979075635,39.29377031964815,37.673334450992016,38.09104537963867,74100,0.0,0.0
2014-03-25 00:00:00-04:00,38.4367558522756,38.97690139220711,37.79578358446179,38.0838623046875,66600,0.0,0.0
2014-03-26 00:00:00-04:00,38.46555420074068,38.46555420074068,37.34205078286035,37.46448516845703,110200,0.0,0.0
2014-03-27 00:00:00-04:00,37.66613176335321,38.01902790206512,37.219612417231275,37.71654510498047,66500,0.0,0.0
2014-03-28 00:00:00-04:00,37.90380389146434,38.57358440582843,37.65173439027309,37.93260955810547,100000,0.0,0.0
2014-03-31 00:00:00-04:00,38.076659762463635,39.33699938664557,37.98303651131078,39.03451919555664,128000,0.0,0.0
2014-04-01 00:00:00-04:00,39.25057142965832,39.86273520623797,38.854465294970204,38.998504638671875,192200,0.0,0.0
2014-04-02 00:00:00-04:00,38.99849877577799,38.99849877577799,38.501563252080814,38.89046859741211,84500,0.0,0.0
2014-04-03 00:00:00-04:00,38.890463048590085,38.890463048590085,37.997421577171515,38.21348190307617,101400,0.0,0.0
2014-04-04 00:00:00-04:00,38.57359603220808,38.58079676420833,37.219630388402855,37.62294006347656,86700,0.0,0.0
2014-04-07 00:00:00-04:00,37.378051049058485,37.442868586610494,36.3337697206408,36.66505813598633,64600,0.0,0.0
2014-04-08 00:00:00-04:00,36.70108348735626,37.385268297797445,36.434612491804906,37.118797302246094,70200,0.0,0.0
2014-04-09 00:00:00-04:00,37.291646492261314,37.81018707992917,36.953157161820116,37.6589469909668,62000,0.0,0.0
2014-04-10 00:00:00-04:00,37.7021486016132,37.70935207892908,37.12599404581614,37.26283264160156,149200,0.0,0.0
2014-04-11 00:00:00-04:00,36.83071374912361,37.608524440614474,36.15373250629834,36.650665283203125,117200,0.0,0.0
2014-04-14 00:00:00-04:00,36.97475737337714,37.565316190522765,35.9736882259552,36.549842834472656,119600,0.0,0.0
2014-04-15 00:00:00-04:00,36.80910846395353,36.945944307722165,35.67120085139212,36.76589584350586,95700,0.0,0.0
2014-04-16 00:00:00-04:00,36.91712951660156,37.45007408743635,36.69387121782732,36.91712951660156,78400,0.0,0.0
2014-04-17 00:00:00-04:00,36.92434822606941,38.08386105325924,36.92434822606941,37.08999252319336,127500,0.0,0.0
2014-04-21 00:00:00-04:00,37.046778235670594,37.26283863273922,36.77310649474193,36.866729736328125,84200,0.0,0.0
2014-04-22 00:00:00-04:00,37.08997872025495,37.370853847691315,36.94593941847904,37.27002716064453,185800,0.0,0.0
2014-04-23 00:00:00-04:00,37.30604830857324,38.2855125791666,36.95315479030837,37.838993072509766,165500,0.0,0.0
2014-04-24 00:00:00-04:00,38.11987166492315,38.32872860085503,37.36366845437638,37.939823150634766,118200,0.0,0.0
2014-04-25 00:00:00-04:00,37.86779741611931,37.86779741611931,36.68667708631228,36.981956481933594,120600,0.0,0.0
2014-04-28 00:00:00-04:00,37.21962840540326,37.284445979241696,35.67841359115862,36.016902923583984,117900,0.0,0.0
2014-04-29 00:00:00-04:00,36.00969563135899,36.00969563135899,35.49115513512446,35.67120361328125,131300,0.0,0.0
2014-04-30 00:00:00-04:00,35.700020153062965,36.355396652798724,34.97982607654796,36.24016571044922,160300,0.0,0.0
2014-05-01 00:00:00-04:00,37.50771187406982,38.105471577584666,35.61360052953947,36.45622634887695,297700,0.0,0.0
2014-05-02 00:00:00-04:00,36.449011672334926,36.54263764332887,35.77923116315046,36.15373229980469,186200,0.0,0.0
2014-05-05 00:00:00-04:00,35.85845373768038,36.66507010937674,35.29670064634258,36.57864761352539,136800,0.0,0.0
