sic_level,sic_code,sector_name,year,company_count,mean_MAD,median_MAD,std_MAD,min_MAD,max_MAD,percentile_25,percentile_75,percentile_90,percentile_95,mean_chi_square,mean_p_value,mean_KS_test
sic_major_group,13,Oil & Gas Extraction,2014,6,1.5421833333333332,1.37025,0.5181690053018951,0.8586,2.5296,1.33325,1.695175,2.16155,2.3455749999999997,49.068066666666674,0.00016666666666666666,0.9039166666666666
sic_major_group,15,Building Construction,2014,5,1.49926,1.0017,0.8264674430369293,0.8647,3.0824,0.9936,1.5539,2.471,2.7766999999999995,74.20400000000001,0.04424,0.90564
sic_major_group,16,Heavy Construction,2014,3,1.2380333333333333,1.0379,0.30564822190805485,1.0063,1.6699,1.0221,1.3538999999999999,1.5434999999999999,1.6066999999999998,30.8633,0.021666666666666667,0.9103333333333333
sic_major_group,20,Food & Kindred Products,2014,8,1.2330875,0.9761,0.8383107112483712,0.5781,3.2687,0.634525,1.3088,2.0859799999999997,2.677339999999999,37.010262499999996,0.0356625,0.9088875000000001
sic_major_group,23,Apparel & Other Finished Products,2014,5,1.18414,1.3384,0.30700660318631584,0.5951,1.448,1.1794,1.3598,1.41272,1.4303599999999999,28.81524,0.0036200000000000004,0.9062199999999999
sic_major_group,25,Furniture & Fixtures,2014,5,1.08454,0.9023,0.5173694911762772,0.5951,2.0523,0.7301,1.1429,1.68854,1.8704199999999997,42.314919999999994,0.0661,0.91022
sic_major_group,28,Chemicals & Allied Products,2014,24,1.5489708333333334,1.4374500000000001,0.6205933340220784,0.6875,3.6966,1.178075,1.866975,2.10247,2.3939449999999995,42.98820416666666,0.021029166666666665,0.8975791666666666
sic_major_group,30,Rubber & Miscellaneous Plastics,2014,4,1.109125,1.1802,0.28827401352706067,0.6923,1.3838,0.914825,1.3744999999999998,1.38008,1.38194,25.43085,0.07362500000000001,0.9103
sic_major_group,33,Primary Metal Industries,2014,6,1.13545,1.09005,0.29793294407746634,0.8057,1.7149,0.9173499999999999,1.211675,1.4687000000000001,1.5918,39.06928333333333,0.020649999999999998,0.9050000000000001
sic_major_group,34,Fabricated Metal Products,2014,11,1.5277818181818184,1.4973,0.29433941390597423,1.0264,1.9901,1.34835,1.7223000000000002,1.9201,1.9550999999999998,55.06204545454546,0.0016090909090909092,0.9003545454545455
sic_major_group,35,Industrial Machinery & Equipment,2014,22,1.2916409090909091,1.24645,0.400122195720588,0.6805,2.1655,0.997275,1.46095,1.9077700000000004,2.05069,36.16850909090909,0.027745454545454542,0.9020772727272728
sic_major_group,36,Electronic & Electrical Equipment,2014,14,1.5907285714285717,1.5738500000000002,0.5006487582963464,0.8967,2.6091,1.172725,1.9437,2.18906,2.400385,41.076750000000004,0.027771428571428575,0.9086214285714285
sic_major_group,37,Transportation Equipment,2014,15,1.30824,1.2476,0.4125235569839214,0.559,2.0236,1.0343,1.52955,1.94452,1.97908,36.68394,0.023486666666666663,0.9050999999999999
sic_major_group,38,Measuring & Analyzing Instruments,2014,17,1.4778,1.4235,0.6334713624614956,0.6439,2.8468,0.8482,2.0971,2.1347,2.3131199999999996,40.95980588235294,0.04814705882352941,0.9106529411764706
sic_major_group,44,Water Transportation,2014,3,1.6869666666666667,1.8139,0.44995114796559366,1.0835,2.1635,1.4487,1.9887000000000001,2.09358,2.12854,40.6122,0.18503333333333336,0.9071000000000001
sic_major_group,45,Transportation by Air,2014,4,1.2451750000000001,1.2538,0.07862713828570897,1.1328,1.3403,1.194975,1.304,1.32578,1.33304,35.803475,0.00035,0.908975
sic_major_group,48,Communications,2014,5,1.71584,1.548,0.5937290176503084,1.0006,2.8025,1.5109,1.7172,2.36838,2.58544,58.0452,0.00078,0.90352
sic_major_group,49,"Electric, Gas & Sanitary Services",2014,20,0.861665,0.8027500000000001,0.3582035081835464,0.4749,2.1544,0.6569,0.9848,1.1158300000000003,1.2671950000000005,40.183555,0.015735000000000002,0.9037549999999998
sic_major_group,50,Wholesale Trade - Durable Goods,2014,3,2.0410999999999997,2.2157,0.5088582186293807,1.3492,2.5584,1.7824499999999999,2.38705,2.4898599999999997,2.52413,62.2226,9.999999999999999e-05,0.9054666666666668
