cik,company_name,sic_code,sic_division,division_name,sic_major_group,major_group_name,sic_industry_group
0000356309,NEW JERSEY RESOURCES CORP,4924,E,Transportation & Utilities,49,"Electric, Gas & Sanitary Services",492
0001002047,"NETAPP, INC.",3572,D,Manufacturing,35,Industrial Machinery & Equipment,357
0000052988,JACOBS SOLUTIONS INC.,1600,C,Construction,16,Heavy Construction,160
0000854775,DIGI INTERNATIONAL INC,3576,D,Manufacturing,35,Industrial Machinery & Equipment,357
0000063296,MATTHEWS INTERNATIONAL CORP,3360,D,Manufacturing,33,Primary Metal Industries,336
0000719955,WILLIAMS SONOMA INC,5700,G,Retail Trade,57,Home Furniture & Equipment Stores,570
0001674910,VALVOLINE INC,2990,D,Manufacturing,29,Petroleum Refining & Related,299
0001319161,WARNER MUSIC GROUP CORP.,7900,I,Services,79,Amusement & Recreation Services,790
0000002969,"AIR PRODUCTS & CHEMICALS, INC.",2810,D,Manufacturing,28,Chemicals & Allied Products,281
0000807882,JACK IN THE BOX INC,5812,G,Retail Trade,58,Eating & Drinking Places,581
0001327567,PALO ALTO NETWORKS INC,3577,D,Manufacturing,35,Industrial Machinery & Equipment,357
0000067215,DYCOM INDUSTRIES INC,1623,C,Construction,16,Heavy Construction,162
0001126956,SPIRE INC,4924,E,Transportation & Utilities,49,"Electric, Gas & Sanitary Services",492
0001045810,NVIDIA CORP,3674,D,Manufacturing,36,Electronic & Electrical Equipment,367
0000080420,POWELL INDUSTRIES INC,3613,D,Manufacturing,36,Electronic & Electrical Equipment,361
0000829224,STARBUCKS CORP,5810,G,Retail Trade,58,Eating & Drinking Places,581
0000936528,WAFD INC,6021,H,"Finance, Insurance & Real Estate",60,Depository Institutions (Banks),602
0000833444,JOHNSON CONTROLS INTERNATIONAL PLC,3585,D,Manufacturing,35,Industrial Machinery & Equipment,358
0000868857,AECOM,8711,I,Services,87,Engineering & Management Services,871
0001417398,"HILLENBRAND, INC.",3990,D,Manufacturing,39,Miscellaneous Manufacturing,399
0001772016,"BELLRING BRANDS, INC.",2000,D,Manufacturing,20,Food & Kindred Products,200
0001670541,ADIENT PLC,3714,D,Manufacturing,37,Transportation Equipment,371
0001744489,WALT DISNEY CO,7990,I,Services,79,Amusement & Recreation Services,799
0000834365,BIOLIFE SOLUTIONS INC,3845,D,Manufacturing,38,Measuring & Analyzing Instruments,384
0001295810,"SUNSTONE HOTEL INVESTORS, INC.",7011,I,Services,70,Hotels & Lodging Places,701
0001661181,ORGANOGENESIS HOLDINGS INC.,2834,D,Manufacturing,28,Chemicals & Allied Products,283
0000714310,VALLEY NATIONAL BANCORP,6021,H,"Finance, Insurance & Real Estate",60,Depository Institutions (Banks),602
0000100493,"TYSON FOODS, INC.",2015,D,Manufacturing,20,Food & Kindred Products,201
0000923796,GEO GROUP INC,1520,C,Construction,15,Building Construction,152
0001507605,"MARA HOLDINGS, INC.",6199,H,"Finance, Insurance & Real Estate",61,Non-Depository Credit Institutions,619
0001335258,"LIVE NATION ENTERTAINMENT, INC.",7900,I,Services,79,Amusement & Recreation Services,790
0001158172,"COMSCORE, INC.",7389,I,Services,73,Business Services,738
0001287865,MEDICAL PROPERTIES TRUST INC,6798,H,"Finance, Insurance & Real Estate",67,Holding & Investment Offices,679
0000920371,"SIMPSON MANUFACTURING CO., INC.",3420,D,Manufacturing,34,Fabricated Metal Products,342
0001389050,"ARCHROCK, INC.",4922,E,Transportation & Utilities,49,"Electric, Gas & Sanitary Services",492
0000032604,EMERSON ELECTRIC CO,3600,D,Manufacturing,36,Electronic & Electrical Equipment,360
0001635088,ROIVANT SCIENCES LTD.,2834,D,Manufacturing,28,Chemicals & Allied Products,283
0000883984,ICU MEDICAL INC/DE,3841,D,Manufacturing,38,Measuring & Analyzing Instruments,384
0001803696,ADEIA INC.,4841,E,Transportation & Utilities,48,Communications,484
0000712537,FIRST COMMONWEALTH FINANCIAL CORP /PA/,6021,H,"Finance, Insurance & Real Estate",60,Depository Institutions (Banks),602
0000038777,FRANKLIN RESOURCES INC,6282,H,"Finance, Insurance & Real Estate",62,Security & Commodity Brokers,628
0000311094,WESTAMERICA BANCORPORATION,6021,H,"Finance, Insurance & Real Estate",60,Depository Institutions (Banks),602
0001175454,"CORPAY, INC.",7389,I,Services,73,Business Services,738
0001612630,JOINT CORP,6794,H,"Finance, Insurance & Real Estate",67,Holding & Investment Offices,679
0001069183,"AXON ENTERPRISE, INC.",3480,D,Manufacturing,34,Fabricated Metal Products,348
0001561550,"DATADOG, INC.",7372,I,Services,73,Business Services,737
0000926326,"OMNICELL, INC.",3571,D,Manufacturing,35,Industrial Machinery & Equipment,357
0001057706,FIRST BANCORP /PR/,6022,H,"Finance, Insurance & Real Estate",60,Depository Institutions (Banks),602
0001965040,FORTREA HOLDINGS INC.,8071,I,Services,80,Health Services,807
0001569187,"ARMADA HOFFLER PROPERTIES, INC.",6500,H,"Finance, Insurance & Real Estate",65,Real Estate,650
0001632127,"CABLE ONE, INC.",4841,E,Transportation & Utilities,48,Communications,484
0001142750,AMN HEALTHCARE SERVICES INC,7363,I,Services,73,Business Services,736
0002005951,SMURFIT WESTROCK PLC,2650,D,Manufacturing,26,Paper & Allied Products,265
0001570827,"VICTORY CAPITAL HOLDINGS, INC.",6282,H,"Finance, Insurance & Real Estate",62,Security & Commodity Brokers,628
0001284812,"COHEN & STEERS, INC.",6282,H,"Finance, Insurance & Real Estate",62,Security & Commodity Brokers,628
0000912728,FORWARD AIR CORP,4731,E,Transportation & Utilities,47,Transportation Services,473
0001767258,"XPEL, INC.",3470,D,Manufacturing,34,Fabricated Metal Products,347
0000351569,AMERIS BANCORP,6022,H,"Finance, Insurance & Real Estate",60,Depository Institutions (Banks),602
0000357301,TRUSTCO BANK CORP N Y,6022,H,"Finance, Insurance & Real Estate",60,Depository Institutions (Banks),602
0000729986,UNITED BANKSHARES INC/WV,6022,H,"Finance, Insurance & Real Estate",60,Depository Institutions (Banks),602
0000799167,MARTEN TRANSPORT LTD,4213,E,Transportation & Utilities,42,Motor Freight Transportation,421
0001063761,SIMON PROPERTY GROUP INC /DE/,6798,H,"Finance, Insurance & Real Estate",67,Holding & Investment Offices,679
0001084048,"ZIFF DAVIS, INC.",4822,E,Transportation & Utilities,48,Communications,482
0000078814,PITNEY BOWES INC /DE/,3579,D,Manufacturing,35,Industrial Machinery & Equipment,357
0000080172,NATIONAL PRESTO INDUSTRIES INC,3480,D,Manufacturing,34,Fabricated Metal Products,348
0000899923,MYRIAD GENETICS INC,2835,D,Manufacturing,28,Chemicals & Allied Products,283
0001298946,DIAMONDROCK HOSPITALITY CO,6798,H,"Finance, Insurance & Real Estate",67,Holding & Investment Offices,679
0001364250,DOUGLAS EMMETT INC,6798,H,"Finance, Insurance & Real Estate",67,Holding & Investment Offices,679
0000831259,FREEPORT-MCMORAN INC,1000,B,Mining,10,Metal Mining,100
0001688568,DXC TECHNOLOGY CO,7374,I,Services,73,Business Services,737
0001578732,"MARCUS & MILLICHAP, INC.",6531,H,"Finance, Insurance & Real Estate",65,Real Estate,653
0001564708,NEWS CORP,2711,D,Manufacturing,27,"Printing, Publishing & Allied",271
0001803737,"ENHABIT, INC.",8082,I,Services,80,Health Services,808
0001685040,"BRIGHTHOUSE FINANCIAL, INC.",6311,H,"Finance, Insurance & Real Estate",63,Insurance Carriers,631
0001596532,"ARISTA NETWORKS, INC.",3576,D,Manufacturing,35,Industrial Machinery & Equipment,357
0000719413,HECLA MINING CO/DE/,1400,B,Mining,14,Mining of Nonmetallic Minerals,140
0000849869,SILGAN HOLDINGS INC,3411,D,Manufacturing,34,Fabricated Metal Products,341
0000874238,"STERLING INFRASTRUCTURE, INC.",1600,C,Construction,16,Heavy Construction,160
0001471265,"NORTHWEST BANCSHARES, INC.",6021,H,"Finance, Insurance & Real Estate",60,Depository Institutions (Banks),602
0000913144,RENAISSANCERE HOLDINGS LTD,6331,H,"Finance, Insurance & Real Estate",63,Insurance Carriers,633
0001049502,MKS INSTRUMENTS INC,3823,D,Manufacturing,38,Measuring & Analyzing Instruments,382
0001029142,DYNAVAX TECHNOLOGIES CORP,2834,D,Manufacturing,28,Chemicals & Allied Products,283
0001005757,CSG SYSTEMS INTERNATIONAL INC,7374,I,Services,73,Business Services,737
0001474098,PEBBLEBROOK HOTEL TRUST,6798,H,"Finance, Insurance & Real Estate",67,Holding & Investment Offices,679
0000930236,REDWOOD TRUST INC,6798,H,"Finance, Insurance & Real Estate",67,Holding & Investment Offices,679
0000821189,EOG RESOURCES INC,1311,B,Mining,13,Oil & Gas Extraction,131
0000036966,FIRST HORIZON CORP,6021,H,"Finance, Insurance & Real Estate",60,Depository Institutions (Banks),602
0001359841,HANESBRANDS INC.,5600,G,Retail Trade,56,Apparel & Accessory Stores,560
0001873923,ORION OFFICE REIT INC.,6798,H,"Finance, Insurance & Real Estate",67,Holding & Investment Offices,679
0000935036,"ACI WORLDWIDE, INC.",7372,I,Services,73,Business Services,737
0001368514,"ADMA BIOLOGICS, INC.",2836,D,Manufacturing,28,Chemicals & Allied Products,283
0001451809,SITIME CORP,3674,D,Manufacturing,36,Electronic & Electrical Equipment,367
0000916365,TRACTOR SUPPLY CO /DE/,5200,G,Retail Trade,52,Building Materials & Hardware,520
0001020710,DXP ENTERPRISES INC,5084,F,Wholesale Trade,50,Wholesale Trade - Durable Goods,508
0001559720,"AIRBNB, INC.",7340,I,Services,73,Business Services,734
0001671933,"TRADE DESK, INC.",7370,I,Services,73,Business Services,737
0000354647,CVB FINANCIAL CORP,6022,H,"Finance, Insurance & Real Estate",60,Depository Institutions (Banks),602
0000901491,PAPA JOHNS INTERNATIONAL INC,5812,G,Retail Trade,58,Eating & Drinking Places,581
0001677576,INNOVATIVE INDUSTRIAL PROPERTIES INC,6500,H,"Finance, Insurance & Real Estate",65,Real Estate,650
0000821483,"PAR PACIFIC HOLDINGS, INC.",1311,B,Mining,13,Oil & Gas Extraction,131
0000910406,HAIN CELESTIAL GROUP INC,2000,D,Manufacturing,20,Food & Kindred Products,200
0001658566,PERMIAN RESOURCES CORP,1311,B,Mining,13,Oil & Gas Extraction,131
0001867072,"KYNDRYL HOLDINGS, INC.",7373,I,Services,73,Business Services,737
0001823529,"ENACT HOLDINGS, INC.",6411,H,"Finance, Insurance & Real Estate",64,Insurance Agents & Brokers,641
0000946581,TAKE TWO INTERACTIVE SOFTWARE INC,7372,I,Services,73,Business Services,737
0001061983,CYTOKINETICS INC,2834,D,Manufacturing,28,Chemicals & Allied Products,283
0001295947,PRESTIGE CONSUMER HEALTHCARE INC.,2834,D,Manufacturing,28,Chemicals & Allied Products,283
0001206264,"TEMPUR SEALY INTERNATIONAL, INC.",2510,D,Manufacturing,25,Furniture & Fixtures,251
0000354963,SHENANDOAH TELECOMMUNICATIONS CO/VA/,4813,E,Transportation & Utilities,48,Communications,481
0001767042,"KODIAK GAS SERVICES, INC.",4922,E,Transportation & Utilities,49,"Electric, Gas & Sanitary Services",492
0000076605,PATRICK INDUSTRIES INC,3714,D,Manufacturing,37,Transportation Equipment,371
0001001316,"TG THERAPEUTICS, INC.",2834,D,Manufacturing,28,Chemicals & Allied Products,283
0000058492,LEGGETT & PLATT INC,2510,D,Manufacturing,25,Furniture & Fixtures,251
0001513761,NORWEGIAN CRUISE LINE HOLDINGS LTD.,4400,E,Transportation & Utilities,44,Water Transportation,440
0000792987,ASTEC INDUSTRIES INC,3531,D,Manufacturing,35,Industrial Machinery & Equipment,353
0000763744,LCI INDUSTRIES,3714,D,Manufacturing,37,Transportation Equipment,371
0001070985,"CORECIVIC, INC.",6798,H,"Finance, Insurance & Real Estate",67,Holding & Investment Offices,679
0001665918,US FOODS HOLDING CORP.,5140,F,Wholesale Trade,51,Wholesale Trade - Nondurable Goods,514
0001336917,"UNDER ARMOUR, INC.",2300,D,Manufacturing,23,Apparel & Other Finished Products,230
0000717423,MURPHY OIL CORP,1311,B,Mining,13,Oil & Gas Extraction,131
0001759655,"PRIVIA HEALTH GROUP, INC.",8000,I,Services,80,Health Services,800
0000063908,MCDONALDS CORP,5812,G,Retail Trade,58,Eating & Drinking Places,581
0001929561,"RXO, INC.",4700,E,Transportation & Utilities,47,Transportation Services,470
0000005272,"AMERICAN INTERNATIONAL GROUP, INC.",6331,H,"Finance, Insurance & Real Estate",63,Insurance Carriers,633
0001512673,"BLOCK, INC.",7372,I,Services,73,Business Services,737
0001158324,"COGENT COMMUNICATIONS HOLDINGS, INC.",4899,E,Transportation & Utilities,48,Communications,489
0000110471,WOLVERINE WORLD WIDE INC /DE/,3140,D,Manufacturing,31,Leather & Leather Products,314
0001580808,"A10 NETWORKS, INC.",3576,D,Manufacturing,35,Industrial Machinery & Equipment,357
0001841666,APA CORP,1311,B,Mining,13,Oil & Gas Extraction,131
0001600033,"E.L.F. BEAUTY, INC.",2844,D,Manufacturing,28,Chemicals & Allied Products,284
0000818479,DENTSPLY SIRONA INC.,3843,D,Manufacturing,38,Measuring & Analyzing Instruments,384
0001296445,"ORMAT TECHNOLOGIES, INC.",4911,E,Transportation & Utilities,49,"Electric, Gas & Sanitary Services",491
0001115055,PINNACLE FINANCIAL PARTNERS INC,6021,H,"Finance, Insurance & Real Estate",60,Depository Institutions (Banks),602
0001674168,HILTON GRAND VACATIONS INC.,7000,I,Services,70,Hotels & Lodging Places,700
0001811074,TEXAS PACIFIC LAND CORP,6792,H,"Finance, Insurance & Real Estate",67,Holding & Investment Offices,679
0001618673,PERFORMANCE FOOD GROUP CO,5141,F,Wholesale Trade,51,Wholesale Trade - Nondurable Goods,514
0001341766,"CELSIUS HOLDINGS, INC.",2086,D,Manufacturing,20,Food & Kindred Products,208
0000811589,FIRST BANCORP /NC/,6022,H,"Finance, Insurance & Real Estate",60,Depository Institutions (Banks),602
0000072741,EVERSOURCE ENERGY,4911,E,Transportation & Utilities,49,"Electric, Gas & Sanitary Services",491
0001941365,"MASTERBRAND, INC.",2511,D,Manufacturing,25,Furniture & Fixtures,251
0000004904,AMERICAN ELECTRIC POWER CO INC,4911,E,Transportation & Utilities,49,"Electric, Gas & Sanitary Services",491
0000814547,FAIR ISAAC CORP,7389,I,Services,73,Business Services,738
0001434588,"GRAND CANYON EDUCATION, INC.",8200,I,Services,82,Educational Services,820
0001512762,"COHERUS BIOSCIENCES, INC.",2836,D,Manufacturing,28,Chemicals & Allied Products,283
0000910108,LXP INDUSTRIAL TRUST,6798,H,"Finance, Insurance & Real Estate",67,Holding & Investment Offices,679
0001822993,JACKSON FINANCIAL INC.,6311,H,"Finance, Insurance & Real Estate",63,Insurance Carriers,631
0000916540,DARLING INGREDIENTS INC.,2070,D,Manufacturing,20,Food & Kindred Products,207
0001080014,"INNOVIVA, INC.",2834,D,Manufacturing,28,Chemicals & Allied Products,283
0000091576,KEYCORP /NEW/,6021,H,"Finance, Insurance & Real Estate",60,Depository Institutions (Banks),602
0000886346,KADANT INC,3550,D,Manufacturing,35,Industrial Machinery & Equipment,355
0000937556,MASIMO CORP,3845,D,Manufacturing,38,Measuring & Analyzing Instruments,384
0000022356,COMMERCE BANCSHARES INC /MO/,6022,H,"Finance, Insurance & Real Estate",60,Depository Institutions (Banks),602
0001046025,HERITAGE FINANCIAL CORP /WA/,6036,H,"Finance, Insurance & Real Estate",60,Depository Institutions (Banks),603
0001438133,TANDEM DIABETES CARE INC,3841,D,Manufacturing,38,Measuring & Analyzing Instruments,384
0001396814,"PACIRA BIOSCIENCES, INC.",2834,D,Manufacturing,28,Chemicals & Allied Products,283
0001005817,TOMPKINS FINANCIAL CORP,6022,H,"Finance, Insurance & Real Estate",60,Depository Institutions (Banks),602
0000078890,BRINKS CO,4731,E,Transportation & Utilities,47,Transportation Services,473
0001410384,"Q2 HOLDINGS, INC.",7372,I,Services,73,Business Services,737
0001465128,"STARWOOD PROPERTY TRUST, INC.",6798,H,"Finance, Insurance & Real Estate",67,Holding & Investment Offices,679
0000105319,"WW INTERNATIONAL, INC.",7200,I,Services,72,Personal Services,720
0001099800,EDWARDS LIFESCIENCES CORP,3842,D,Manufacturing,38,Measuring & Analyzing Instruments,384
0001999001,SIX FLAGS ENTERTAINMENT CORPORATION/NEW,7900,I,Services,79,Amusement & Recreation Services,790
0001369568,"CATALYST PHARMACEUTICALS, INC.",2834,D,Manufacturing,28,Chemicals & Allied Products,283
0001104485,"NORTHERN OIL & GAS, INC.",1311,B,Mining,13,Oil & Gas Extraction,131
0001761312,"PALOMAR HOLDINGS, INC.",6331,H,"Finance, Insurance & Real Estate",63,Insurance Carriers,633
