iShares Russell 3000 ETF
Fund Holdings as of,"May 07, 2026"
Inception Date,"May 22, 2000"
Shares Outstanding,"46,650,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"WMT","WALMART INC","Consumer Staples","Equity","156,089,098.20","0.81","156,089,098.20","1,198,841.00","130.20","United States","NASDAQ","USD","1.00","USD","-"
"V","VISA INC CLASS A","Financials","Equity","149,026,370.56","0.77","149,026,370.56","463,852.00","321.28","United States","NYSE","USD","1.00","USD","-"
"JNJ","JOHNSON & JOHNSON","Health Care","Equity","147,488,973.42","0.76","147,488,973.42","662,842.00","222.51","United States","NYSE","USD","1.00","USD","-"
"INTC","INTEL CORPORATION CORP","Information Technology","Equity","133,331,902.20","0.69","133,331,902.20","1,216,310.00","109.62","United States","NASDAQ","USD","1.00","USD","-"
"COST","COSTCO WHOLESALE CORP","Consumer Staples","Equity","123,695,997.32","0.64","123,695,997.32","122,222.00","1,012.06","United States","NASDAQ","USD","1.00","USD","-"
"CAT","CATERPILLAR INC","Industrials","Equity","114,316,914.70","0.59","114,316,914.70","127,630.00","895.69","United States","NYSE","USD","1.00","USD","-"
"MA","MASTERCARD INC CLASS A","Financials","Equity","111,058,398.00","0.57","111,058,398.00","221,700.00","500.94","United States","NYSE","USD","1.00","USD","-"
"NFLX","NETFLIX INC","Communication","Equity","103,112,447.25","0.53","103,112,447.25","1,168,413.00","88.25","United States","NASDAQ","USD","1.00","USD","-"
"CSCO","CISCO SYSTEMS INC","Information Technology","Equity","101,020,907.52","0.52","101,020,907.52","1,096,147.00","92.16","United States","NASDAQ","USD","1.00","USD","-"
"ABBV","ABBVIE INC","Health Care","Equity","99,035,592.18","0.51","99,035,592.18","488,558.00","202.71","United States","NYSE","USD","1.00","USD","-"
"LRCX","LAM RESEARCH CORP","Information Technology","Equity","99,027,042.40","0.51","99,027,042.40","345,620.00","286.52","United States","NASDAQ","USD","1.00","USD","-"
"BAC","BANK OF AMERICA CORP","Financials","Equity","95,499,918.75","0.49","95,499,918.75","1,810,425.00","52.75","United States","NYSE","USD","1.00","USD","-"
"PG","PROCTER & GAMBLE","Consumer Staples","Equity","94,469,124.98","0.49","94,469,124.98","646,783.00","146.06","United States","NYSE","USD","1.00","USD","-"
"CVX","CHEVRON CORP","Energy","Equity","94,277,310.00","0.49","94,277,310.00","516,588.00","182.50","United States","NYSE","USD","1.00","USD","-"
"UNH","UNITEDHEALTH GROUP INC","Health Care","Equity","92,755,194.84","0.48","92,755,194.84","250,866.00","369.74","United States","NYSE","USD","1.00","USD","-"
"ORCL","ORACLE CORP","Information Technology","Equity","90,414,492.19","0.47","90,414,492.19","464,641.00","194.59","United States","NYSE","USD","1.00","USD","-"
"AMAT","APPLIED MATERIAL INC","Information Technology","Equity","89,813,538.24","0.46","89,813,538.24","218,716.00","410.64","United States","NASDAQ","USD","1.00","USD","-"
"HD","HOME DEPOT INC","Consumer Discretionary","Equity","88,488,214.32","0.46","88,488,214.32","274,263.00","322.64","United States","NYSE","USD","1.00","USD","-"
"GE","GE AEROSPACE","Industrials","Equity","86,644,784.78","0.45","86,644,784.78","286,306.00","302.63","United States","NYSE","USD","1.00","USD","-"
"KO","COCA-COLA","Consumer Staples","Equity","84,003,471.09","0.43","84,003,471.09","1,071,063.00","78.43","United States","NYSE","USD","1.00","USD","-"
"PLTR","PALANTIR TECHNOLOGIES INC CLASS A","Information Technology","Equity","82,447,772.45","0.43","82,447,772.45","601,589.00","137.05","United States","NASDAQ","USD","1.00","USD","-"
"GEV","GE VERNOVA INC","Industrials","Equity","77,865,974.84","0.40","77,865,974.84","74,468.00","1,045.63","United States","NYSE","USD","1.00","USD","-"
"MRK","MERCK & CO INC","Health Care","Equity","76,954,361.10","0.40","76,954,361.10","685,257.00","112.30","United States","NYSE","USD","1.00","USD","-"
"GS","GOLDMAN SACHS GROUP INC","Financials","Equity","74,909,364.09","0.39","74,909,364.09","80,907.00","925.87","United States","NYSE","USD","1.00","USD","-"
"PM","PHILIP MORRIS INTERNATIONAL INC","Consumer Staples","Equity","73,400,372.26","0.38","73,400,372.26","428,966.00","171.11","United States","NYSE","USD","1.00","USD","-"
"TXN","TEXAS INSTRUMENT INC","Information Technology","Equity","71,406,125.88","0.37","71,406,125.88","250,337.00","285.24","United States","NASDAQ","USD","1.00","USD","-"
"WFC","WELLS FARGO","Financials","Equity","67,618,630.32","0.35","67,618,630.32","854,202.00","79.16","United States","NYSE","USD","1.00","USD","-"
"RTX","RTX CORP","Industrials","Equity","65,164,113.26","0.34","65,164,113.26","368,617.00","176.78","United States","NYSE","USD","1.00","USD","-"
"KLAC","KLA CORP","Information Technology","Equity","63,933,681.75","0.33","63,933,681.75","36,259.00","1,763.25","United States","NASDAQ","USD","1.00","USD","-"
"LIN","LINDE PLC","Materials","Equity","63,838,507.95","0.33","63,838,507.95","129,267.00","493.85","United States","NASDAQ","USD","1.00","USD","-"
"C","CITIGROUP INC","Financials","Equity","61,559,793.75","0.32","61,559,793.75","476,875.00","129.09","United States","NYSE","USD","1.00","USD","-"
"QCOM","QUALCOMM INC","Information Technology","Equity","59,592,235.50","0.31","59,592,235.50","294,210.00","202.55","United States","NASDAQ","USD","1.00","USD","-"
"MS","MORGAN STANLEY","Financials","Equity","59,554,207.71","0.31","59,554,207.71","313,163.00","190.17","United States","NYSE","USD","1.00","USD","-"
"IBM","INTERNATIONAL BUSINESS MACHINES CO","Information Technology","Equity","59,369,875.08","0.31","59,369,875.08","256,668.00","231.31","United States","NYSE","USD","1.00","USD","-"
"PEP","PEPSICO INC","Consumer Staples","Equity","58,985,408.90","0.30","58,985,408.90","377,410.00","156.29","United States","NASDAQ","USD","1.00","USD","-"
"MCD","MCDONALDS CORP","Consumer Discretionary","Equity","55,820,812.00","0.29","55,820,812.00","196,760.00","283.70","United States","NYSE","USD","1.00","USD","-"
"ADI","ANALOG DEVICES INC","Information Technology","Equity","54,936,952.56","0.28","54,936,952.56","134,478.00","408.52","United States","NASDAQ","USD","1.00","USD","-"
"VZ","VERIZON COMMUNICATIONS INC","Communication","Equity","54,681,755.62","0.28","54,681,755.62","1,161,218.00","47.09","United States","NYSE","USD","1.00","USD","-"
"NEE","NEXTERA ENERGY INC","Utilities","Equity","53,658,813.36","0.28","53,658,813.36","574,998.00","93.32","United States","NYSE","USD","1.00","USD","-"
"DIS","WALT DISNEY","Communication","Equity","53,110,291.50","0.27","53,110,291.50","488,775.00","108.66","United States","NYSE","USD","1.00","USD","-"
"SNDK","SANDISK CORP","Information Technology","Equity","52,724,746.08","0.27","52,724,746.08","39,348.00","1,339.96","United States","NASDAQ","USD","1.00","USD","-"
"TMO","THERMO FISHER SCIENTIFIC INC","Health Care","Equity","49,349,533.52","0.25","49,349,533.52","104,012.00","474.46","United States","NYSE","USD","1.00","USD","-"
"AMGN","AMGEN INC","Health Care","Equity","48,796,148.84","0.25","48,796,148.84","148,276.00","329.09","United States","NASDAQ","USD","1.00","USD","-"
"T","AT&T INC","Communication","Equity","48,104,032.56","0.25","48,104,032.56","1,904,356.00","25.26","United States","NYSE","USD","1.00","USD","-"
"BA","BOEING","Industrials","Equity","48,028,826.70","0.25","48,028,826.70","207,890.00","231.03","United States","NYSE","USD","1.00","USD","-"
"TJX","TJX INC","Consumer Discretionary","Equity","47,648,892.56","0.25","47,648,892.56","308,447.00","154.48","United States","NYSE","USD","1.00","USD","-"
"AXP","AMERICAN EXPRESS","Financials","Equity","47,461,864.32","0.25","47,461,864.32","148,928.00","318.69","United States","NYSE","USD","1.00","USD","-"
"CRM","SALESFORCE INC","Information Technology","Equity","46,746,184.10","0.24","46,746,184.10","250,865.00","186.34","United States","NYSE","USD","1.00","USD","-"
"GILD","GILEAD SCIENCES INC","Health Care","Equity","46,052,961.50","0.24","46,052,961.50","343,525.00","134.06","United States","NASDAQ","USD","1.00","USD","-"
"APH","AMPHENOL CORP CLASS A","Information Technology","Equity","45,970,444.08","0.24","45,970,444.08","336,484.00","136.62","United States","NYSE","USD","1.00","USD","-"
"BLK","BLACKROCK INC","Financials","Equity","44,781,015.60","0.23","44,781,015.60","41,940.00","1,067.74","United States","NYSE","USD","1.00","USD","-"
"ISRG","INTUITIVE SURGICAL INC","Health Care","Equity","44,146,344.52","0.23","44,146,344.52","97,348.00","453.49","United States","NASDAQ","USD","1.00","USD","-"
"UNP","UNION PACIFIC CORP","Industrials","Equity","43,562,220.06","0.22","43,562,220.06","164,454.00","264.89","United States","NYSE","USD","1.00","USD","-"
"WDC","WESTERN DIGITAL CORP","Information Technology","Equity","43,357,492.51","0.22","43,357,492.51","93,461.00","463.91","United States","NASDAQ","USD","1.00","USD","-"
"PANW","PALO ALTO NETWORKS INC","Information Technology","Equity","43,254,091.17","0.22","43,254,091.17","220,089.00","196.53","United States","NASDAQ","USD","1.00","USD","-"
"ETN","EATON PLC","Industrials","Equity","43,184,836.80","0.22","43,184,836.80","108,192.00","399.15","United States","NYSE","USD","1.00","USD","-"
"UBER","UBER TECHNOLOGIES INC","Industrials","Equity","42,608,706.11","0.22","42,608,706.11","555,307.00","76.73","United States","NYSE","USD","1.00","USD","-"
"PFE","PFIZER INC","Health Care","Equity","41,474,511.84","0.21","41,474,511.84","1,566,258.00","26.48","United States","NYSE","USD","1.00","USD","-"
"ABT","ABBOTT LABORATORIES","Health Care","Equity","41,466,094.67","0.21","41,466,094.67","476,567.00","87.01","United States","NYSE","USD","1.00","USD","-"
"SCHW","CHARLES SCHWAB CORP","Financials","Equity","41,293,510.00","0.21","41,293,510.00","461,380.00","89.50","United States","NYSE","USD","1.00","USD","-"
"WELL","WELLTOWER INC","Real Estate","Equity","40,414,289.85","0.21","40,414,289.85","189,783.00","212.95","United States","NYSE","USD","1.00","USD","-"
"ANET","ARISTA NETWORKS INC","Information Technology","Equity","40,312,991.25","0.21","40,312,991.25","284,395.00","141.75","United States","NYSE","USD","1.00","USD","-"
"GLW","CORNING INC","Information Technology","Equity","39,289,324.80","0.20","39,289,324.80","215,402.00","182.40","United States","NYSE","USD","1.00","USD","-"
"COP","CONOCOPHILLIPS","Energy","Equity","39,111,010.88","0.20","39,111,010.88","340,451.00","114.88","United States","NYSE","USD","1.00","USD","-"
"DE","DEERE","Industrials","Equity","39,027,962.58","0.20","39,027,962.58","67,227.00","580.54","United States","NYSE","USD","1.00","USD","-"
"BKNG","BOOKING HOLDINGS INC","Consumer Discretionary","Equity","38,330,751.20","0.20","38,330,751.20","223,790.00","171.28","United States","NASDAQ","USD","1.00","USD","-"
"HON","HONEYWELL INTERNATIONAL INC","Industrials","Equity","37,847,469.41","0.20","37,847,469.41","175,163.00","216.07","United States","NASDAQ","USD","1.00","USD","-"
"MRVL","MARVELL TECHNOLOGY INC","Information Technology","Equity","37,267,929.10","0.19","37,267,929.10","232,910.00","160.01","United States","NASDAQ","USD","1.00","USD","-"
"PLD","PROLOGIS REIT INC","Real Estate","Equity","36,437,054.04","0.19","36,437,054.04","256,076.00","142.29","United States","NYSE","USD","1.00","USD","-"
"SPGI","S&P GLOBAL INC","Financials","Equity","35,875,800.52","0.19","35,875,800.52","83,689.00","428.68","United States","NYSE","USD","1.00","USD","-"
"VRT","VERTIV HOLDINGS CLASS A","Industrials","Equity","35,674,869.23","0.18","35,674,869.23","104,923.00","340.01","United States","NYSE","USD","1.00","USD","-"
"LOW","LOWES COMPANIES INC","Consumer Discretionary","Equity","35,576,068.32","0.18","35,576,068.32","154,089.00","230.88","United States","NYSE","USD","1.00","USD","-"
"CRWD","CROWDSTRIKE HOLDINGS INC CLASS A","Information Technology","Equity","34,590,742.28","0.18","34,590,742.28","68,399.00","505.72","United States","NASDAQ","USD","1.00","USD","-"
"NEM","NEWMONT","Materials","Equity","34,368,971.13","0.18","34,368,971.13","302,837.00","113.49","United States","NYSE","USD","1.00","USD","-"
"APP","APPLOVIN CORP CLASS A","Information Technology","Equity","32,739,341.49","0.17","32,739,341.49","65,627.00","498.87","United States","NASDAQ","USD","1.00","USD","-"
"SBUX","STARBUCKS CORP","Consumer Discretionary","Equity","32,595,220.84","0.17","32,595,220.84","312,634.00","104.26","United States","NASDAQ","USD","1.00","USD","-"
"COF","CAPITAL ONE FINANCIAL CORP","Financials","Equity","32,559,265.40","0.17","32,559,265.40","169,060.00","192.59","United States","NYSE","USD","1.00","USD","-"
"CB","CHUBB","Financials","Equity","32,431,609.60","0.17","32,431,609.60","100,945.00","321.28","United States","NYSE","USD","1.00","USD","-"
"MO","ALTRIA GROUP INC","Consumer Staples","Equity","32,090,482.40","0.17","32,090,482.40","464,810.00","69.04","United States","NYSE","USD","1.00","USD","-"
"PGR","PROGRESSIVE CORP","Financials","Equity","31,594,833.00","0.16","31,594,833.00","161,404.00","195.75","United States","NYSE","USD","1.00","USD","-"
"BMY","BRISTOL MYERS SQUIBB","Health Care","Equity","31,492,406.25","0.16","31,492,406.25","559,865.00","56.25","United States","NYSE","USD","1.00","USD","-"
"PH","PARKER-HANNIFIN CORP","Industrials","Equity","30,979,444.20","0.16","30,979,444.20","34,932.00","886.85","United States","NYSE","USD","1.00","USD","-"
"INTU","INTUIT INC","Information Technology","Equity","30,613,042.46","0.16","30,613,042.46","75,257.00","406.78","United States","NASDAQ","USD","1.00","USD","-"
"DHR","DANAHER CORP","Health Care","Equity","30,552,543.80","0.16","30,552,543.80","173,930.00","175.66","United States","NYSE","USD","1.00","USD","-"
"PWR","QUANTA SERVICES INC","Industrials","Equity","30,544,951.51","0.16","30,544,951.51","40,687.00","750.73","United States","NYSE","USD","1.00","USD","-"
"XTSLA","BLK CSH FND TREASURY SL AGENCY","Cash and/or Derivatives","Money Market","30,503,656.47","0.16","30,503,656.47","30,503,656.00","1.00","United States","-","USD","1.00","USD","-"
"ACN","ACCENTURE PLC CLASS A","Information Technology","Equity","30,502,022.63","0.16","30,502,022.63","169,277.00","180.19","United States","NYSE","USD","1.00","USD","-"
"HWM","HOWMET AEROSPACE INC","Industrials","Equity","30,155,460.84","0.16","30,155,460.84","110,646.00","272.54","United States","NYSE","USD","1.00","USD","-"
"CVS","CVS HEALTH CORP","Health Care","Equity","30,114,826.56","0.16","30,114,826.56","344,721.00","87.36","United States","NYSE","USD","1.00","USD","-"
"VRTX","VERTEX PHARMACEUTICALS INC","Health Care","Equity","29,679,025.00","0.15","29,679,025.00","69,833.00","425.00","United States","NASDAQ","USD","1.00","USD","-"
"LMT","LOCKHEED MARTIN CORP","Industrials","Equity","29,181,237.09","0.15","29,181,237.09","56,949.00","512.41","United States","NYSE","USD","1.00","USD","-"
"ADBE","ADOBE INC","Information Technology","Equity","28,930,223.84","0.15","28,930,223.84","112,784.00","256.51","United States","NASDAQ","USD","1.00","USD","-"
"TT","TRANE TECHNOLOGIES PLC","Industrials","Equity","28,840,226.47","0.15","28,840,226.47","61,387.00","469.81","United States","NYSE","USD","1.00","USD","-"
"EQIX","EQUINIX REIT INC","Real Estate","Equity","28,797,186.20","0.15","28,797,186.20","26,995.00","1,066.76","United States","NASDAQ","USD","1.00","USD","-"
"CME","CME GROUP INC CLASS A","Financials","Equity","28,377,783.65","0.15","28,377,783.65","98,929.00","286.85","United States","NASDAQ","USD","1.00","USD","-"
"SO","SOUTHERN","Utilities","Equity","28,148,447.34","0.15","28,148,447.34","304,538.00","92.43","United States","NYSE","USD","1.00","USD","-"
"SYK","STRYKER CORP","Health Care","Equity","27,850,340.65","0.14","27,850,340.65","94,655.00","294.23","United States","NYSE","USD","1.00","USD","-"
"MDT","MEDTRONIC PLC","Health Care","Equity","27,509,589.28","0.14","27,509,589.28","352,868.00","77.96","United States","NYSE","USD","1.00","USD","-"
"NOW","SERVICENOW INC","Information Technology","Equity","26,892,524.96","0.14","26,892,524.96","287,344.00","93.59","United States","NYSE","USD","1.00","USD","-"
"CEG","CONSTELLATION ENERGY CORP","Utilities","Equity","26,842,608.24","0.14","26,842,608.24","86,233.00","311.28","United States","NASDAQ","USD","1.00","USD","-"
"DUK","DUKE ENERGY CORP","Utilities","Equity","26,818,205.03","0.14","26,818,205.03","214,769.00","124.87","United States","NYSE","USD","1.00","USD","-"
"CDNS","CADENCE DESIGN SYSTEMS INC","Information Technology","Equity","26,789,627.80","0.14","26,789,627.80","75,062.00","356.90","United States","NASDAQ","USD","1.00","USD","-"
"SNPS","SYNOPSYS INC","Information Technology","Equity","26,536,115.13","0.14","26,536,115.13","52,527.00","505.19","United States","NASDAQ","USD","1.00","USD","-"
"CMCSA","COMCAST CORP CLASS A","Communication","Equity","26,053,066.24","0.13","26,053,066.24","992,876.00","26.24","United States","NASDAQ","USD","1.00","USD","-"
"CMI","CUMMINS INC","Industrials","Equity","25,881,834.88","0.13","25,881,834.88","37,901.00","682.88","United States","NYSE","USD","1.00","USD","-"
"TMUS","T MOBILE US INC","Communication","Equity","25,708,001.80","0.13","25,708,001.80","132,379.00","194.20","United States","NASDAQ","USD","1.00","USD","-"
"MCK","MCKESSON CORP","Health Care","Equity","25,662,594.76","0.13","25,662,594.76","34,001.00","754.76","United States","NYSE","USD","1.00","USD","-"
"BX","BLACKSTONE INC","Financials","Equity","25,119,119.87","0.13","25,119,119.87","205,339.00","122.33","United States","NYSE","USD","1.00","USD","-"
"BK","BANK OF NEW YORK MELLON CORP","Financials","Equity","24,760,396.71","0.13","24,760,396.71","189,459.00","130.69","United States","NYSE","USD","1.00","USD","-"
"WMB","WILLIAMS INC","Energy","Equity","24,547,966.80","0.13","24,547,966.80","336,504.00","72.95","United States","NYSE","USD","1.00","USD","-"
"ICE","INTERCONTINENTAL EXCHANGE INC","Financials","Equity","24,494,283.44","0.13","24,494,283.44","156,904.00","156.11","United States","NYSE","USD","1.00","USD","-"
"GD","GENERAL DYNAMICS CORP","Industrials","Equity","24,227,743.68","0.13","24,227,743.68","69,668.00","347.76","United States","NYSE","USD","1.00","USD","-"
"FCX","FREEPORT MCMORAN INC","Materials","Equity","23,937,010.35","0.12","23,937,010.35","394,935.00","60.61","United States","NYSE","USD","1.00","USD","-"
"ADP","AUTOMATIC DATA PROCESSING INC","Industrials","Equity","23,882,381.77","0.12","23,882,381.77","111,553.00","214.09","United States","NASDAQ","USD","1.00","USD","-"
"USB","US BANCORP","Financials","Equity","23,863,167.64","0.12","23,863,167.64","431,444.00","55.31","United States","NYSE","USD","1.00","USD","-"
"PNC","PNC FINANCIAL SERVICES GROUP INC","Financials","Equity","23,492,976.28","0.12","23,492,976.28","107,132.00","219.29","United States","NYSE","USD","1.00","USD","-"
"JCI","JOHNSON CONTROLS INTERNATIONAL PLC","Industrials","Equity","23,452,067.25","0.12","23,452,067.25","168,417.00","139.25","United States","NYSE","USD","1.00","USD","-"
"AMT","AMERICAN TOWER REIT CORP","Real Estate","Equity","23,245,159.85","0.12","23,245,159.85","129,305.00","179.77","United States","NYSE","USD","1.00","USD","-"
"CSX","CSX CORP","Industrials","Equity","23,043,395.70","0.12","23,043,395.70","518,295.00","44.46","United States","NASDAQ","USD","1.00","USD","-"
"BSX","BOSTON SCIENTIFIC CORP","Health Care","Equity","23,020,822.08","0.12","23,020,822.08","406,944.00","56.57","United States","NYSE","USD","1.00","USD","-"
"ELV","ELEVANCE HEALTH INC","Health Care","Equity","22,795,480.84","0.12","22,795,480.84","61,127.00","372.92","United States","NYSE","USD","1.00","USD","-"
"WM","WASTE MANAGEMENT INC","Industrials","Equity","22,620,010.25","0.12","22,620,010.25","102,145.00","221.45","United States","NYSE","USD","1.00","USD","-"
"FDX","FEDEX CORP","Industrials","Equity","22,279,867.38","0.12","22,279,867.38","59,266.00","375.93","United States","NYSE","USD","1.00","USD","-"
"MRSH","MARSH INC","Financials","Equity","22,190,905.68","0.11","22,190,905.68","133,656.00","166.03","United States","NYSE","USD","1.00","USD","-"
"NET","CLOUDFLARE INC CLASS A","Information Technology","Equity","22,115,011.59","0.11","22,115,011.59","86,121.00","256.79","United States","NYSE","USD","1.00","USD","-"
"SLB","SLB NV","Energy","Equity","21,964,472.00","0.11","21,964,472.00","414,424.00","53.00","United States","NYSE","USD","1.00","USD","-"
"EMR","EMERSON ELECTRIC","Industrials","Equity","21,951,769.83","0.11","21,951,769.83","155,587.00","141.09","United States","NYSE","USD","1.00","USD","-"
"MDLZ","MONDELEZ INTERNATIONAL INC CLASS A","Consumer Staples","Equity","21,935,614.42","0.11","21,935,614.42","357,782.00","61.31","United States","NASDAQ","USD","1.00","USD","-"
"ORLY","OREILLY AUTOMOTIVE INC","Consumer Discretionary","Equity","21,882,785.44","0.11","21,882,785.44","231,368.00","94.58","United States","NASDAQ","USD","1.00","USD","Jan 01, 1970"
"MAR","MARRIOTT INTERNATIONAL INC CLASS A","Consumer Discretionary","Equity","21,484,203.30","0.11","21,484,203.30","61,026.00","352.05","United States","NASDAQ","USD","1.00","USD","-"
"MMM","3M","Industrials","Equity","21,197,662.50","0.11","21,197,662.50","147,462.00","143.75","United States","NYSE","USD","1.00","USD","-"
"CIEN","CIENA CORP","Information Technology","Equity","20,998,709.76","0.11","20,998,709.76","38,976.00","538.76","United States","NYSE","USD","1.00","USD","-"
"CRH","CRH PUBLIC LIMITED PLC","Materials","Equity","20,912,349.99","0.11","20,912,349.99","185,673.00","112.63","United States","NYSE","USD","1.00","USD","-"
"CI","CIGNA","Health Care","Equity","20,709,072.36","0.11","20,709,072.36","72,909.00","284.04","United States","NYSE","USD","1.00","USD","-"
"ITW","ILLINOIS TOOL INC","Industrials","Equity","20,340,443.53","0.11","20,340,443.53","79,601.00","255.53","United States","NYSE","USD","1.00","USD","-"
"NOC","NORTHROP GRUMMAN CORP","Industrials","Equity","20,314,699.68","0.10","20,314,699.68","36,784.00","552.27","United States","NYSE","USD","1.00","USD","-"
"SHW","SHERWIN WILLIAMS","Materials","Equity","20,295,230.01","0.10","20,295,230.01","63,381.00","320.21","United States","NYSE","USD","1.00","USD","-"
"UPS","UNITED PARCEL SERVICE INC CLASS B","Industrials","Equity","20,267,347.10","0.10","20,267,347.10","202,471.00","100.10","United States","NYSE","USD","1.00","USD","-"
"MPWR","MONOLITHIC POWER SYSTEMS INC","Information Technology","Equity","20,225,870.64","0.10","20,225,870.64","12,834.00","1,575.96","United States","NASDAQ","USD","1.00","USD","-"
"MPC","MARATHON PETROLEUM CORP","Energy","Equity","20,043,381.10","0.10","20,043,381.10","82,735.00","242.26","United States","NYSE","USD","1.00","USD","-"
"HLT","HILTON WORLDWIDE HOLDINGS INC","Consumer Discretionary","Equity","20,042,131.90","0.10","20,042,131.90","62,573.00","320.30","United States","NYSE","USD","1.00","USD","-"
"REGN","REGENERON PHARMACEUTICALS INC","Health Care","Equity","19,935,637.40","0.10","19,935,637.40","28,114.00","709.10","United States","NASDAQ","USD","1.00","USD","-"
"MSI","MOTOROLA SOLUTIONS INC","Information Technology","Equity","19,807,203.60","0.10","19,807,203.60","45,723.00","433.20","United States","NYSE","USD","1.00","USD","-"
"DELL","DELL TECHNOLOGIES INC CLASS C","Information Technology","Equity","19,780,883.81","0.10","19,780,883.81","85,903.00","230.27","United States","NYSE","USD","1.00","USD","-"
"EOG","EOG RESOURCES INC","Energy","Equity","19,752,871.68","0.10","19,752,871.68","150,912.00","130.89","United States","NYSE","USD","1.00","USD","-"
"VLO","VALERO ENERGY CORP","Energy","Equity","19,740,188.35","0.10","19,740,188.35","83,521.00","236.35","United States","NYSE","USD","1.00","USD","-"
"ROST","ROSS STORES INC","Consumer Discretionary","Equity","19,647,387.52","0.10","19,647,387.52","87,524.00","224.48","United States","NASDAQ","USD","1.00","USD","-"
"RCL","ROYAL CARIBBEAN GROUP LTD","Consumer Discretionary","Equity","19,626,352.99","0.10","19,626,352.99","69,877.00","280.87","United States","NYSE","USD","1.00","USD","-"
"MCO","MOODYS CORP","Financials","Equity","19,607,761.60","0.10","19,607,761.60","42,896.00","457.10","United States","NYSE","USD","1.00","USD","-"
"GM","GENERAL MOTORS","Consumer Discretionary","Equity","19,502,292.02","0.10","19,502,292.02","248,722.00","78.41","United States","NYSE","USD","1.00","USD","-"
"AEP","AMERICAN ELECTRIC POWER INC","Utilities","Equity","19,486,249.92","0.10","19,486,249.92","147,892.00","131.76","United States","NASDAQ","USD","1.00","USD","-"
"NSC","NORFOLK SOUTHERN CORP","Industrials","Equity","19,407,929.31","0.10","19,407,929.31","61,929.00","313.39","United States","NYSE","USD","1.00","USD","-"
"CL","COLGATE-PALMOLIVE","Consumer Staples","Equity","19,395,492.48","0.10","19,395,492.48","222,018.00","87.36","United States","NYSE","USD","1.00","USD","-"
"HCA","HCA HEALTHCARE INC","Health Care","Equity","19,098,683.34","0.10","19,098,683.34","44,517.00","429.02","United States","NYSE","USD","1.00","USD","-"
"TDG","TRANSDIGM GROUP INC","Industrials","Equity","18,929,017.18","0.10","18,929,017.18","15,241.00","1,241.98","United States","NYSE","USD","1.00","USD","-"
