iShares Russell 3000 ETF
Fund Holdings as of,"May 07, 2026"
Inception Date,"May 22, 2000"
Shares Outstanding,"46,650,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"NVDA","NVIDIA CORP","Information Technology","Equity","1,363,975,555.50","7.04","1,363,975,555.50","6,449,057.00","211.50","United States","NASDAQ","USD","1.00","USD","-"
"AAPL","APPLE INC","Information Technology","Equity","1,141,058,328.88","5.89","1,141,058,328.88","3,969,727.00","287.44","United States","NASDAQ","USD","1.00","USD","-"
"MSFT","MICROSOFT CORP","Information Technology","Equity","859,889,358.93","4.44","859,889,358.93","2,043,609.00","420.77","United States","NASDAQ","USD","1.00","USD","-"
"AMZN","AMAZON.COM INC","Consumer Discretionary","Equity","716,773,085.37","3.70","716,773,085.37","2,643,261.00","271.17","United States","NASDAQ","USD","1.00","USD","-"
"GOOGL","ALPHABET INC CLASS A","Communication","Equity","637,470,532.75","3.29","637,470,532.75","1,601,725.00","397.99","United States","NASDAQ","USD","1.00","USD","-"
"AVGO","BROADCOM INC","Information Technology","Equity","525,015,604.80","2.71","525,015,604.80","1,272,580.00","412.56","United States","NASDAQ","USD","1.00","USD","-"
"GOOG","ALPHABET INC CLASS C","Communication","Equity","515,547,492.90","2.66","515,547,492.90","1,304,193.00","395.30","United States","NASDAQ","USD","1.00","USD","-"
"META","META PLATFORMS INC CLASS A","Communication","Equity","371,094,484.35","1.92","371,094,484.35","601,635.00","616.81","United States","NASDAQ","USD","1.00","USD","-"
"TSLA","TESLA INC","Consumer Discretionary","Equity","320,165,077.84","1.65","320,165,077.84","777,496.00","411.79","United States","NASDAQ","USD","1.00","USD","-"
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Financials","Equity","241,461,310.32","1.25","241,461,310.32","508,254.00","475.08","United States","NYSE","USD","1.00","USD","-"
"JPM","JPMORGAN CHASE & CO","Financials","Equity","229,281,991.29","1.18","229,281,991.29","748,627.00","306.27","United States","NYSE","USD","1.00","USD","-"
"LLY","ELI LILLY","Health Care","Equity","215,272,142.96","1.11","215,272,142.96","220,801.00","974.96","United States","NYSE","USD","1.00","USD","-"
"MU","MICRON TECHNOLOGY INC","Information Technology","Equity","199,120,655.68","1.03","199,120,655.68","307,936.00","646.63","United States","NASDAQ","USD","1.00","USD","-"
"AMD","ADVANCED MICRO DEVICES INC","Information Technology","Equity","181,141,798.50","0.94","181,141,798.50","443,475.00","408.46","United States","NASDAQ","USD","1.00","USD","-"
"XOM","EXXON MOBIL CORP","Energy","Equity","170,700,178.74","0.88","170,700,178.74","1,164,553.00","146.58","United States","NYSE","USD","1.00","USD","-"
