digit,actual_percent,benford_percent,difference,count
1,30.519701086956523,30.1,0.41970108695652186,5391
2,15.709918478260871,17.6,-1.8900815217391305,2775
3,12.647192028985508,12.5,0.14719202898550776,2234
4,9.40330615942029,9.7,-0.29669384057971016,1661
5,9.522192028985508,7.9,1.6221920289855074,1682
6,7.206748188405797,6.7,0.5067481884057967,1273
7,5.46875,5.8,-0.3312499999999998,966
8,5.083786231884058,5.1,-0.016213768115941996,898
9,4.438405797101449,4.5,-0.061594202898550776,784
