adsh,tag,version,ddate,qtrs,uom,segments,coreg,value,footnote,name,form,period,filed,quarter
0001193125-14-024487,EarningsPerShareDiluted,us-gaap/2013,2013-12-31,1,USD,,,14.5,,APPLE INC,10-Q,2013-12-31,2014-01-28,2014q1
0001193125-14-024487,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,us-gaap/2013,2012-12-31,1,USD,,,17672000000.0,,APPLE INC,10-Q,2013-12-31,2014-01-28,2014q1
0001193125-14-024487,NetCashProvidedByUsedInInvestingActivities,us-gaap/2013,2013-12-31,1,USD,,,-15103000000.0,,APPLE INC,10-Q,2013-12-31,2014-01-28,2014q1
0001193125-14-024487,AvailableForSaleSecuritiesCurrent,us-gaap/2013,2013-09-30,0,USD,FairValueByFairValueHierarchyLevel=FairValueInputsLevel1;,,3802000000.0,,APPLE INC,10-Q,2013-12-31,2014-01-28,2014q1
0001193125-14-024487,PaymentsForProceedsFromOtherInvestingActivities,us-gaap/2013,2012-12-31,1,USD,,,52000000.0,,APPLE INC,10-Q,2013-12-31,2014-01-28,2014q1
0001193125-14-024487,CashAndCashEquivalentsAtCarryingValue,us-gaap/2013,2013-12-31,0,USD,FairValueByFairValueHierarchyLevel=FairValueInputsLevel2;ScheduleOfCashCashEquivalentAndAvailableForSaleSecurities=ForeignGovernmentDebtSecurities;,,0.0,,APPLE INC,10-Q,2013-12-31,2014-01-28,2014q1
0001193125-14-024487,CashAndCashEquivalentsAtCarryingValue,us-gaap/2013,2013-12-31,0,USD,,,14077000000.0,,APPLE INC,10-Q,2013-12-31,2014-01-28,2014q1
0001193125-14-024487,NetCashProvidedByUsedInFinancingActivities,us-gaap/2013,2013-12-31,1,USD,,,-7749000000.0,,APPLE INC,10-Q,2013-12-31,2014-01-28,2014q1
0001193125-14-024487,IncreaseDecreaseInAccountsPayable,us-gaap/2013,2012-12-31,1,USD,,,6145000000.0,,APPLE INC,10-Q,2013-12-31,2014-01-28,2014q1
0001193125-14-024487,OtherAssetsCurrent,us-gaap/2013,2013-09-30,0,USD,,,6882000000.0,,APPLE INC,10-Q,2013-12-31,2014-01-28,2014q1
0001193125-14-024487,CashAndCashEquivalentsAtCarryingValue,us-gaap/2013,2013-12-31,0,USD,FairValueByFairValueHierarchyLevel=FairValueInputsLevel2;,,3437000000.0,,APPLE INC,10-Q,2013-12-31,2014-01-28,2014q1
0001193125-14-024487,NontradeReceivablesCurrent,us-gaap/2013,2013-09-30,0,USD,,,7539000000.0,,APPLE INC,10-Q,2013-12-31,2014-01-28,2014q1
0001193125-14-024487,InterestPaid,us-gaap/2013,2013-12-31,1,USD,,,161000000.0,,APPLE INC,10-Q,2013-12-31,2014-01-28,2014q1
0001193125-14-024487,WeightedAverageNumberOfDilutedSharesOutstanding,us-gaap/2013,2012-12-31,1,shares,,,947217000.0,,APPLE INC,10-Q,2013-12-31,2014-01-28,2014q1
0001193125-14-024487,SalesRevenueNet,us-gaap/2013,2012-12-31,1,USD,BusinessSegments=Americas;,,20341000000.0,,APPLE INC,10-Q,2013-12-31,2014-01-28,2014q1
0001193125-14-024487,CashAndCashEquivalentsAtCarryingValue,us-gaap/2013,2013-12-31,0,USD,ScheduleOfCashCashEquivalentAndAvailableForSaleSecurities=Cash;,,8404000000.0,,APPLE INC,10-Q,2013-12-31,2014-01-28,2014q1
0001193125-14-024487,PaymentsToAcquireProductiveAssets,us-gaap/2013,2013-12-31,1,USD,,,1985000000.0,,APPLE INC,10-Q,2013-12-31,2014-01-28,2014q1
0001193125-14-024487,CashAndCashEquivalentsAtCarryingValue,us-gaap/2013,2013-12-31,0,USD,FairValueByFairValueHierarchyLevel=FairValueInputsLevel2;ScheduleOfCashCashEquivalentAndAvailableForSaleSecurities=USTreasurySecurities;,,629000000.0,,APPLE INC,10-Q,2013-12-31,2014-01-28,2014q1
0001193125-14-024487,CashAndCashEquivalentsAtCarryingValue,us-gaap/2013,2013-09-30,0,USD,FairValueByFairValueHierarchyLevel=FairValueInputsLevel2;ScheduleOfCashCashEquivalentAndAvailableForSaleSecurities=ForeignGovernmentDebtSecurities;,,50000000.0,,APPLE INC,10-Q,2013-12-31,2014-01-28,2014q1
0001193125-14-024487,DepreciationAmortizationAndAccretionNet,us-gaap/2013,2013-12-31,1,USD,,,2144000000.0,,APPLE INC,10-Q,2013-12-31,2014-01-28,2014q1
0001193125-14-024487,Assets,us-gaap/2013,2013-12-31,0,USD,,,225184000000.0,,APPLE INC,10-Q,2013-12-31,2014-01-28,2014q1
0001193125-14-024487,OperatingIncomeLoss,us-gaap/2013,2013-12-31,1,USD,BusinessSegments=AsiaPacific;,,1329000000.0,,APPLE INC,10-Q,2013-12-31,2014-01-28,2014q1
0001193125-14-024487,CommonStockDividendsPerShareDeclared,us-gaap/2013,2012-12-31,1,USD,,,2.65,,APPLE INC,10-Q,2013-12-31,2014-01-28,2014q1
0001193125-14-024487,NonoperatingIncomeExpense,us-gaap/2013,2013-12-31,1,USD,,,246000000.0,,APPLE INC,10-Q,2013-12-31,2014-01-28,2014q1
0001193125-14-024487,PaymentsToAcquireIntangibleAssets,us-gaap/2013,2012-12-31,1,USD,,,138000000.0,,APPLE INC,10-Q,2013-12-31,2014-01-28,2014q1
0001193125-14-024487,AssetsCurrent,us-gaap/2013,2013-12-31,0,USD,,,80347000000.0,,APPLE INC,10-Q,2013-12-31,2014-01-28,2014q1
0001193125-14-024487,AvailableForSaleSecuritiesCurrent,us-gaap/2013,2013-12-31,0,USD,FairValueByFairValueHierarchyLevel=FairValueInputsLevel1;ScheduleOfCashCashEquivalentAndAvailableForSaleSecurities=EquitySecurities;,,3797000000.0,,APPLE INC,10-Q,2013-12-31,2014-01-28,2014q1
0001193125-14-024487,AccruedLiabilitiesCurrent,us-gaap/2013,2013-12-31,0,USD,,,15824000000.0,,APPLE INC,10-Q,2013-12-31,2014-01-28,2014q1
0001193125-14-024487,IncomeTaxesPaidNet,us-gaap/2013,2012-12-31,1,USD,,,1890000000.0,,APPLE INC,10-Q,2013-12-31,2014-01-28,2014q1
0001193125-14-024487,AvailableForSaleSecuritiesCurrent,us-gaap/2013,2013-12-31,0,USD,FairValueByFairValueHierarchyLevel=FairValueInputsLevel2;ScheduleOfCashCashEquivalentAndAvailableForSaleSecurities=BankTimeDeposits;,,494000000.0,,APPLE INC,10-Q,2013-12-31,2014-01-28,2014q1
