adsh,tag,version,ddate,qtrs,uom,segments,coreg,value,footnote,name,form,period,filed
0000320193-24-000123,MarketableSecuritiesNoncurrent,us-gaap/2024,2024-09-30,0,USD,FairValueByFairValueHierarchyLevel=FairValueInputsLevel2;FinancialInstrument=USTreasurySecurities;,,11380000000.0,,APPLE INC,10-K,2024-09-30,2024-11-01
0000320193-24-000123,GrossProfit,us-gaap/2024,2022-09-30,4,USD,,,170782000000.0,,APPLE INC,10-K,2024-09-30,2024-11-01
0000320193-24-000123,MarketableSecuritiesCurrent,us-gaap/2024,2023-09-30,0,USD,FairValueByFairValueHierarchyLevel=FairValueInputsLevel2;FinancialInstrument=BankTimeDeposits;,,320000000.0,,APPLE INC,10-K,2024-09-30,2024-11-01
0000320193-24-000123,EarningsPerShareBasic,us-gaap/2024,2024-09-30,4,USD,,,6.11,,APPLE INC,10-K,2024-09-30,2024-11-01
0000320193-24-000123,PaymentsOfDividends,us-gaap/2024,2024-09-30,4,USD,,,15234000000.0,,APPLE INC,10-K,2024-09-30,2024-11-01
0000320193-24-000123,PaymentsRelatedToTaxWithholdingForShareBasedCompensation,us-gaap/2024,2023-09-30,4,USD,,,5431000000.0,,APPLE INC,10-K,2024-09-30,2024-11-01
0000320193-24-000123,ProceedsFromIssuanceOfLongTermDebt,us-gaap/2024,2024-09-30,4,USD,,,0.0,,APPLE INC,10-K,2024-09-30,2024-11-01
0000320193-24-000123,WeightedAverageNumberOfDilutedSharesOutstanding,us-gaap/2024,2024-09-30,4,shares,,,15408095000.0,,APPLE INC,10-K,2024-09-30,2024-11-01
0000320193-24-000123,RevenueFromContractWithCustomerExcludingAssessedTax,us-gaap/2024,2024-09-30,4,USD,BusinessSegments=JapanSegment;,,25052000000.0,,APPLE INC,10-K,2024-09-30,2024-11-01
0000320193-24-000123,CostOfGoodsAndServicesSold,us-gaap/2024,2022-09-30,4,USD,,,223546000000.0,,APPLE INC,10-K,2024-09-30,2024-11-01
0000320193-24-000123,OperatingIncomeLoss,us-gaap/2024,2024-09-30,4,USD,BusinessSegments=GreaterChinaSegment;,,27082000000.0,,APPLE INC,10-K,2024-09-30,2024-11-01
0000320193-24-000123,RevenueFromContractWithCustomerExcludingAssessedTax,us-gaap/2024,2022-09-30,4,USD,BusinessSegments=JapanSegment;,,25977000000.0,,APPLE INC,10-K,2024-09-30,2024-11-01
0000320193-24-000123,OtherAssetsCurrent,us-gaap/2024,2024-09-30,0,USD,,,14287000000.0,,APPLE INC,10-K,2024-09-30,2024-11-01
0000320193-24-000123,IncreaseDecreaseInOtherOperatingLiabilities,us-gaap/2024,2023-09-30,4,USD,,,3031000000.0,,APPLE INC,10-K,2024-09-30,2024-11-01
0000320193-24-000123,OperatingIncomeLoss,us-gaap/2024,2024-09-30,4,USD,BusinessSegments=AmericasSegment;,,67656000000.0,,APPLE INC,10-K,2024-09-30,2024-11-01
0000320193-24-000123,StockholdersEquity,us-gaap/2024,2024-09-30,0,USD,,,56950000000.0,,APPLE INC,10-K,2024-09-30,2024-11-01
