adsh,tag,version,ddate,qtrs,uom,segments,coreg,value,footnote,name,form,period,filed
0000320193-24-000123,CashAndCashEquivalentsAtCarryingValue,us-gaap/2024,2024-09-30,0,USD,FairValueByFairValueHierarchyLevel=FairValueInputsLevel1;,,778000000.0,,APPLE INC,10-K,2024-09-30,2024-11-01
0000320193-24-000123,CashAndCashEquivalentsAtCarryingValue,us-gaap/2024,2024-09-30,0,USD,FairValueByFairValueHierarchyLevel=FairValueInputsLevel2;FinancialInstrument=USStatesAndPoliticalSubdivisions;,,0.0,,APPLE INC,10-K,2024-09-30,2024-11-01
0000320193-24-000123,StockholdersEquity,us-gaap/2024,2024-09-30,0,USD,EquityComponents=RetainedEarnings;,,-19154000000.0,,APPLE INC,10-K,2024-09-30,2024-11-01
0000320193-24-000123,NetIncomeLoss,us-gaap/2024,2023-09-30,4,USD,,,96995000000.0,,APPLE INC,10-K,2024-09-30,2024-11-01
0000320193-24-000123,CashAndCashEquivalentsAtCarryingValue,us-gaap/2024,2023-09-30,0,USD,FairValueByFairValueHierarchyLevel=FairValueInputsLevel2;FinancialInstrument=ForeignGovernmentDebtSecurities;,,0.0,,APPLE INC,10-K,2024-09-30,2024-11-01
0000320193-24-000123,CashAndCashEquivalentsAtCarryingValue,us-gaap/2024,2024-09-30,0,USD,FairValueByFairValueHierarchyLevel=FairValueInputsLevel2;,,1966000000.0,,APPLE INC,10-K,2024-09-30,2024-11-01
0000320193-24-000123,StockholdersEquity,us-gaap/2024,2024-09-30,0,USD,EquityComponents=AccumulatedOtherComprehensiveIncome;,,-7172000000.0,,APPLE INC,10-K,2024-09-30,2024-11-01
0000320193-24-000123,EarningsPerShareBasic,us-gaap/2024,2022-09-30,4,USD,,,6.15,,APPLE INC,10-K,2024-09-30,2024-11-01
0000320193-24-000123,NetIncomeLoss,us-gaap/2024,2024-09-30,4,USD,EquityComponents=RetainedEarnings;,,93736000000.0,,APPLE INC,10-K,2024-09-30,2024-11-01
0000320193-24-000123,CashAndCashEquivalentsAtCarryingValue,us-gaap/2024,2023-09-30,0,USD,FairValueByFairValueHierarchyLevel=FairValueInputsLevel2;FinancialInstrument=AssetBackedSecurities;,,0.0,,APPLE INC,10-K,2024-09-30,2024-11-01
0000320193-24-000123,EarningsPerShareDiluted,us-gaap/2024,2024-09-30,4,USD,,,6.08,,APPLE INC,10-K,2024-09-30,2024-11-01
0000320193-24-000123,CashAndCashEquivalentsAtCarryingValue,us-gaap/2024,2023-09-30,0,USD,FairValueByFairValueHierarchyLevel=FairValueInputsLevel1;FinancialInstrument=MoneyMarketFunds;,,481000000.0,,APPLE INC,10-K,2024-09-30,2024-11-01
0000320193-24-000123,AssetsCurrent,us-gaap/2024,2024-09-30,0,USD,,,152987000000.0,,APPLE INC,10-K,2024-09-30,2024-11-01
0000320193-24-000123,StockholdersEquity,us-gaap/2024,2022-09-30,0,USD,EquityComponents=RetainedEarnings;,,-3068000000.0,,APPLE INC,10-K,2024-09-30,2024-11-01
0000320193-24-000123,EarningsPerShareDiluted,us-gaap/2024,2022-09-30,4,USD,,,6.11,,APPLE INC,10-K,2024-09-30,2024-11-01
0000320193-24-000123,StockholdersEquity,us-gaap/2024,2023-09-30,0,USD,EquityComponents=CommonStockIncludingAdditionalPaidInCapital;,,73812000000.0,,APPLE INC,10-K,2024-09-30,2024-11-01
