cik,company_name,year_2014_chi_square,year_2014_p_value,year_2014_MAD,year_2014_KS_test,year_2015_chi_square,year_2015_p_value,year_2015_MAD,year_2015_KS_test,year_2016_chi_square,year_2016_p_value,year_2016_MAD,year_2016_KS_test,year_2017_chi_square,year_2017_p_value,year_2017_MAD,year_2017_KS_test,year_2018_chi_square,year_2018_p_value,year_2018_MAD,year_2018_KS_test,year_2019_chi_square,year_2019_p_value,year_2019_MAD,year_2019_KS_test,year_2020_chi_square,year_2020_p_value,year_2020_MAD,year_2020_KS_test,year_2021_chi_square,year_2021_p_value,year_2021_MAD,year_2021_KS_test,year_2022_chi_square,year_2022_p_value,year_2022_MAD,year_2022_KS_test,year_2023_chi_square,year_2023_p_value,year_2023_MAD,year_2023_KS_test,year_2024_chi_square,year_2024_p_value,year_2024_MAD,year_2024_KS_test
0000946581,TAKE TWO INTERACTIVE SOFTWARE INC,25.6911,0.0012,1.2164,0.8943,14.8508,0.0621,0.9018,0.8934,8.0613,0.4275,0.7718,0.9111,8.7216,0.3663,0.7604,0.905,12.1196,0.1459,0.7476,0.8905,11.0342,0.1998,0.6792,0.899,18.9043,0.0154,0.9215,0.9052,23.1457,0.0032,0.9536,0.895,28.4648,0.0004,1.2642,0.9119,19.8128,0.0111,1.0633,0.9083,17.7677,0.023,0.9475,0.8964
0001471265,"Northwest Bancshares, Inc.",45.049,0.0,0.934,0.8914,62.2657,0.0,0.9864,0.8891,52.5098,0.0,0.7999,0.9109,13.8337,0.0862,0.4238,0.9054,46.2832,0.0,0.8904,0.9031,42.6947,0.0,1.0015,0.9026,39.3037,0.0,1.0351,0.9006,35.2335,0.0,1.0785,0.9002,51.304,0.0,1.3067,0.9036,56.5904,0.0,1.4468,0.9114,86.9272,0.0,1.8187,0.9197
0001418121,"Apple Hospitality REIT, Inc.",65.1036,0.0,2.8071,0.888,39.4982,0.0,1.9413,0.9015,29.5143,0.0003,1.4922,0.9045,39.7053,0.0,1.9148,0.9037,31.7257,0.0001,1.7954,0.9118,66.5213,0.0,2.3121,0.9084,75.0371,0.0,2.1131,0.9232,78.8701,0.0,2.4411,0.9155,43.8378,0.0,1.8478,0.9066,30.3964,0.0002,1.3865,0.9165,33.2937,0.0001,1.4081,0.9222
0001645590,Hewlett Packard Enterprise Co,0.0,0.0,0.0,0.0,30.0464,0.0002,2.0808,0.8832,26.9908,0.0007,1.0785,0.8888,66.4447,0.0,1.5768,0.9074,59.0063,0.0,1.4882,0.9064,36.9646,0.0,0.9925,0.9039,38.9578,0.0,0.9717,0.9182,30.7849,0.0002,0.6902,0.9243,18.3649,0.0187,0.6201,0.9187,23.155,0.0032,0.6344,0.9188,23.861,0.0024,0.8682,0.9186
0001873923,Orion Properties Inc.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.8847,0.0614,1.8636,0.9102,156.0989,0.0,2.8851,0.9062,289.8062,0.0,3.6408,0.8905,219.6418,0.0,2.5102,0.9051
0001528129,"Vital Energy, Inc.",31.584,0.0001,1.3403,0.9093,24.4109,0.002,0.8832,0.9106,37.6441,0.0,1.2697,0.9089,50.2459,0.0,1.4963,0.9116,24.7154,0.0017,0.9959,0.9058,36.6077,0.0,1.262,0.8976,54.4632,0.0,1.538,0.9132,55.5014,0.0,1.9815,0.9123,49.2528,0.0,1.5265,0.9022,38.301,0.0,1.3004,0.9104,28.3567,0.0004,1.3175,0.8966
0000088941,SEMTECH CORP,51.5184,0.0,1.9582,0.9096,35.7976,0.0,1.1628,0.9114,36.0433,0.0,1.1311,0.9187,84.3254,0.0,1.5672,0.9262,78.1793,0.0,1.6288,0.9163,92.4144,0.0,1.6801,0.922,171.6654,0.0,2.1455,0.9213,159.0567,0.0,2.4412,0.9076,147.129,0.0,2.2476,0.9159,102.1886,0.0,1.9629,0.9204,16.6887,0.0335,0.783,0.9086
0000763744,LCI INDUSTRIES,71.6632,0.0,2.0236,0.9166,82.1781,0.0,2.3365,0.9147,41.41,0.0,1.7496,0.9146,5.5294,0.6998,0.4935,0.9145,31.8491,0.0001,1.481,0.9074,73.7057,0.0,1.7269,0.927,33.8795,0.0,1.3689,0.9144,58.4263,0.0,2.0316,0.9031,62.3722,0.0,2.0403,0.9052,74.4234,0.0,1.9377,0.9066,85.3053,0.0,2.2381,0.8992
0001336917,"Under Armour, Inc.",29.4678,0.0003,1.3384,0.9187,33.1757,0.0001,1.4673,0.9284,16.028,0.042,0.815,0.9179,13.2206,0.1045,0.8894,0.9153,11.7147,0.1644,0.7522,0.9117,15.9798,0.0427,0.7484,0.9071,36.5537,0.0,1.3267,0.9106,31.7527,0.0001,1.214,0.9082,38.8374,0.0,1.4562,0.9071,45.654,0.0,1.527,0.9074,63.5589,0.0,1.2371,0.9139
0001428336,"HEALTHEQUITY, INC.",27.2036,0.0007,1.8747,0.9066,37.1237,0.0,1.3992,0.9063,38.8591,0.0,1.5514,0.8962,30.5889,0.0002,1.2004,0.9044,29.8321,0.0002,1.7046,0.9122,34.3316,0.0,1.5923,0.9083,33.3193,0.0001,1.0152,0.9065,76.8354,0.0,1.7995,0.9071,84.0883,0.0,1.6684,0.895,99.1583,0.0,2.4011,0.8772,66.1672,0.0,1.7512,0.8781
0000723612,"AVIS BUDGET GROUP, INC.",18.0862,0.0206,0.4775,0.8946,6.5119,0.5901,0.3742,0.9047,8.736,0.3651,0.4798,0.9031,33.4921,0.0001,0.9243,0.9115,21.3842,0.0062,0.6822,0.9067,64.3819,0.0,1.2918,0.9068,65.3986,0.0,1.5483,0.8992,67.6307,0.0,1.7359,0.8923,38.5102,0.0,1.352,0.9027,15.4074,0.0517,0.7225,0.8942,20.1793,0.0097,0.9412,0.9054
0001122976,AVIENT CORP,71.807,0.0,1.832,0.8657,38.5716,0.0,0.9845,0.8714,15.5964,0.0485,0.7648,0.8947,28.3165,0.0004,0.9372,0.9046,29.2781,0.0003,1.1345,0.905,95.7682,0.0,2.5686,0.9144,68.0989,0.0,2.1286,0.9196,58.5882,0.0,1.8928,0.904,51.386,0.0,1.8638,0.8855,35.4336,0.0,1.2563,0.8846,59.3746,0.0,1.6725,0.8712
0000037808,FNB CORP/PA/,64.0078,0.0,1.464,0.9127,60.1793,0.0,1.414,0.9036,38.3304,0.0,1.0404,0.9036,21.7288,0.0054,0.7243,0.9054,16.1361,0.0405,0.4111,0.9117,49.9103,0.0,1.1051,0.9155,82.0509,0.0,1.5495,0.9128,132.5358,0.0,1.8437,0.9148,151.3291,0.0,2.0045,0.9154,104.2387,0.0,1.6455,0.9082,83.3566,0.0,1.2984,0.908
0001095073,"EVEREST GROUP, LTD.",19.8606,0.0109,0.785,0.9159,33.004,0.0001,1.0524,0.9143,52.6753,0.0,1.3267,0.914,33.8513,0.0,1.097,0.9037,70.7929,0.0,1.5942,0.898,44.3497,0.0,0.9431,0.8959,56.9942,0.0,1.2997,0.8893,45.7042,0.0,1.4112,0.9015,35.701,0.0,1.2091,0.9116,23.2486,0.0031,0.72,0.9079,26.5871,0.0008,0.9489,0.8888
0001569187,"Armada Hoffler Properties, Inc.",31.8812,0.0001,1.3365,0.9184,53.0195,0.0,1.606,0.9273,21.2577,0.0065,0.6633,0.9215,13.0684,0.1095,0.8409,0.8939,48.4543,0.0,1.4315,0.8897,78.4143,0.0,1.3985,0.8971,58.33,0.0,1.3285,0.9044,49.739,0.0,1.1945,0.8988,87.7285,0.0,1.5935,0.9047,109.0764,0.0,1.6975,0.9064,54.5634,0.0,1.3808,0.8997
0001005817,TOMPKINS FINANCIAL CORP,46.5515,0.0,1.0136,0.9125,22.0108,0.0049,0.8024,0.9052,58.3922,0.0,1.349,0.9025,37.225,0.0,1.0032,0.8962,53.8897,0.0,1.0412,0.9035,55.9578,0.0,0.9496,0.9147,66.032,0.0,0.9419,0.907,31.8291,0.0001,0.7648,0.9063,72.0382,0.0,1.2802,0.9048,122.9984,0.0,1.7413,0.9113,79.2781,0.0,1.3489,0.8977
0000033213,EQT Corp,33.3068,0.0001,1.3309,0.8908,28.1865,0.0004,1.1974,0.8974,13.0243,0.111,0.8826,0.8997,32.4055,0.0001,1.1501,0.905,35.3805,0.0,1.1416,0.9025,35.3456,0.0,1.2285,0.9092,28.3901,0.0004,1.0546,0.9005,33.1789,0.0001,1.0726,0.8781,82.3615,0.0,1.3419,0.8679,41.1835,0.0,1.0681,0.8796,51.4969,0.0,1.1412,0.8769
0001561680,"Tri Pointe Homes, Inc.",10.6771,0.2207,1.0017,0.9179,87.472,0.0,1.705,0.9115,100.7736,0.0,2.0082,0.9188,93.1969,0.0,1.8838,0.9083,100.8407,0.0,1.9325,0.9098,95.7934,0.0,1.9056,0.9098,46.7867,0.0,1.2356,0.9067,16.5328,0.0354,0.9544,0.9184,38.8127,0.0,1.5981,0.9133,36.892,0.0,1.3866,0.8899,121.6004,0.0,1.7301,0.8489
0001512762,"Coherus Oncology, Inc.",10.3933,0.2385,1.705,0.9007,36.093,0.0,1.4466,0.9118,27.704,0.0005,1.143,0.9036,33.7434,0.0,1.3503,0.9119,28.7654,0.0003,1.3906,0.8998,139.2927,0.0,2.6422,0.8853,104.2553,0.0,2.0605,0.8826,132.2514,0.0,2.1746,0.8944,101.7357,0.0,1.5212,0.9004,46.5568,0.0,1.3261,0.912,60.0883,0.0,1.9235,0.9217
0000868857,AECOM,56.2281,0.0,1.1726,0.8695,53.6422,0.0,1.0953,0.8891,31.0615,0.0001,0.866,0.903,34.3111,0.0,0.8425,0.903,12.1508,0.1446,0.4605,0.9038,10.5798,0.2267,0.4028,0.9096,53.4113,0.0,1.177,0.9003,50.1853,0.0,1.2384,0.8974,23.7204,0.0026,0.9498,0.9015,23.987,0.0023,0.7393,0.8925,51.2217,0.0,1.4653,0.8876
0001206264,SOMNIGROUP INTERNATIONAL INC.,25.9678,0.0011,0.7301,0.9107,52.2649,0.0,1.1257,0.9103,62.17,0.0,1.3267,0.9174,66.0853,0.0,1.2736,0.9133,57.458,0.0,1.2335,0.9064,40.1288,0.0,0.9552,0.9074,14.7483,0.0642,0.624,0.8979,28.4006,0.0004,1.0665,0.9058,20.8253,0.0076,0.9186,0.8942,9.9112,0.2713,0.5444,0.8915,33.0166,0.0001,1.2477,0.8921
