value,abs_value,first_digit
2236000000.0,2236000000.0,2
8077000000.0,8077000000.0,8
1557000000.0,1557000000.0,1
16960000000.0,16960000000.0,1
8000000.0,8000000.0,8
283000000.0,283000000.0,2
2840000000.0,2840000000.0,2
13.93,13.93,1
59000000.0,59000000.0,5
13078000000.0,13078000000.0,1
43658000000.0,43658000000.0,4
109000000.0,109000000.0,1
280000000.0,280000000.0,2
5162000000.0,5162000000.0,5
-191000000.0,191000000.0,1
3.05,3.05,3
3850000000.0,3850000000.0,3
53769000000.0,53769000000.0,5
8844000000.0,8844000000.0,8
3387000000.0,3387000000.0,3
-67000000.0,67000000.0,6
899213000.0,899213000.0,8
22367000000.0,22367000000.0,2
2236000000.0,2236000000.0,2
1253000000.0,1253000000.0,1
23002000000.0,23002000000.0,2
3761000000.0,3761000000.0,3
664000000.0,664000000.0,6
104256000000.0,104256000000.0,1
313000000.0,313000000.0,3
276000000.0,276000000.0,2
289000000.0,289000000.0,2
118131000000.0,118131000000.0,1
2000000.0,2000000.0,2
23426000000.0,23426000000.0,2
1368000000.0,1368000000.0,1
13072000000.0,13072000000.0,1
123549000000.0,123549000000.0,1
892447000.0,892447000.0,8
20208000000.0,20208000000.0,2
1577000000.0,1577000000.0,1
5556000000.0,5556000000.0,5
2260000000.0,2260000000.0,2
2022000000.0,2022000000.0,2
35748000000.0,35748000000.0,3
-175000000.0,175000000.0,1
95500000000.0,95500000000.0,9
3140000000.0,3140000000.0,3
30302000000.0,30302000000.0,3
3071000000.0,3071000000.0,3
4594000000.0,4594000000.0,4
2493000000.0,2493000000.0,2
8705000000.0,8705000000.0,8
5261000000.0,5261000000.0,5
668000000.0,668000000.0,6
285000000.0,285000000.0,2
85000000.0,85000000.0,8
19454000000.0,19454000000.0,1
-5000000.0,5000000.0,5
2317000000.0,2317000000.0,2
3412000000.0,3412000000.0,3
29999000000.0,29999000000.0,2
48397000000.0,48397000000.0,4
1800000000.0,1800000000.0,1
3854000000.0,3854000000.0,3
3.05,3.05,3
809000000.0,809000000.0,8
18133000000.0,18133000000.0,1
99000000.0,99000000.0,9
26000000.0,26000000.0,2
81163000000.0,81163000000.0,8
8329000000.0,8329000000.0,8
4984000000.0,4984000000.0,4
3753000000.0,3753000000.0,3
559000000.0,559000000.0,5
4031000000.0,4031000000.0,4
603000000.0,603000000.0,6
239000000.0,239000000.0,2
163000000.0,163000000.0,1
110000000.0,110000000.0,1
890490000.0,890490000.0,8
1541000000.0,1541000000.0,1
939273000.0,939273000.0,9
3412000000.0,3412000000.0,3
15120000000.0,15120000000.0,1
16960000000.0,16960000000.0,1
2.65,2.65,2
6664000000.0,6664000000.0,6
97000000.0,97000000.0,9
16597000000.0,16597000000.0,1
1120000000.0,1120000000.0,1
16962000000.0,16962000000.0,1
3802000000.0,3802000000.0,3
-19000000.0,19000000.0,1
22401000000.0,22401000000.0,2
7155000000.0,7155000000.0,7
88000000.0,88000000.0,8
3164000000.0,3164000000.0,3
-14000000.0,14000000.0,1
20208000000.0,20208000000.0,2
85810000000.0,85810000000.0,8
10230000000.0,10230000000.0,1
5.3,5.3,5
23000000000.0,23000000000.0,2
1114000000.0,1114000000.0,1
946035000.0,946035000.0,9
110000000.0,110000000.0,1
879528000.0,879528000.0,8
275000000.0,275000000.0,2
4258000000.0,4258000000.0,4
1555000000.0,1555000000.0,1
249000000.0,249000000.0,2
5080000000.0,5080000000.0,5
163000000.0,163000000.0,1
3135000000.0,3135000000.0,3
109239000000.0,109239000000.0,1
1350000000.0,1350000000.0,1
8077000000.0,8077000000.0,8
34408000000.0,34408000000.0,3
3280000000.0,3280000000.0,3
83451000000.0,83451000000.0,8
3.05,3.05,3
10948000000.0,10948000000.0,1
1835000000.0,1835000000.0,1
3203000000.0,3203000000.0,3
1735000000.0,1735000000.0,1
3367000000.0,3367000000.0,3
-2375000000.0,2375000000.0,2
9173000000.0,9173000000.0,9
23090000000.0,23090000000.0,2
23.9,23.9,2
3449000000.0,3449000000.0,3
3595000000.0,3595000000.0,3
13000000.0,13000000.0,1
471000000.0,471000000.0,4
7578000000.0,7578000000.0,7
2055000000.0,2055000000.0,2
65000000.0,65000000.0,6
22476000000.0,22476000000.0,2
19764000000.0,19764000000.0,1
5430000000.0,5430000000.0,5
1340000000.0,1340000000.0,1
-251000000.0,251000000.0,2
37085000000.0,37085000000.0,3
43658000000.0,43658000000.0,4
2672000000.0,2672000000.0,2
7539000000.0,7539000000.0,7
341000000.0,341000000.0,3
12558000000.0,12558000000.0,1
23295000000.0,23295000000.0,2
5331000000.0,5331000000.0,5
-1510000000.0,1510000000.0,1
7858000000.0,7858000000.0,7
18551000000.0,18551000000.0,1
1892000000.0,1892000000.0,1
-175000000.0,175000000.0,1
-109000000.0,109000000.0,1
874757000.0,874757000.0,8
16322000000.0,16322000000.0,1
3850000000.0,3850000000.0,3
123549000000.0,123549000000.0,1
26287000000.0,26287000000.0,2
10.09,10.09,1
